...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
299,"The Beach (1996), Alex Garland",The Beach (2000),The Beach,2000,"The Beach,2000",tt0163978,The Beach,The Beach,0,2000,119,"Adventure,Drama,Romance",6.6,264657,The Beach,The Beach,Alex Garland,"The Beach,Alex Garland",The Beach,"[""Alex Garland""]",3.97,88401,1401,1401,"Feb 11, 2000",The Beach,50000000,39778599,"$39,778,599",1401,"The Beach,2000"
299,"The Beach (1996), Alex Garland",The Beach (2000),The Beach,2000,"The Beach,2000",tt0326506,The Beach,The Beach,0,2000,\N,Documentary,7.5,24,The Beach,The Beach,Alex Garland,"The Beach,Alex Garland",The Beach,"[""Alex Garland""]",3.97,88401,1401,1401,"Feb 11, 2000",The Beach,50000000,39778599,"$39,778,599",1401,"The Beach,2000"
309,"The Beast Master (1959), Andre Norton",The Beastmaster (1982),The Beastmaster,1982,"The Beastmaster,1982",tt0083630,The Beastmaster,The Beastmaster,0,1982,118,"Action,Adventure,Fantasy",6.2,26758,The Beastmaster,The Beast Master,Andre Norton,"The Beast Master,Andre Norton",The Beast Master,"[""Andre Norton""]",4,2260,5049,5049,"Aug 20, 1982",The Beastmaster,5000000,10751126,"$10,751,126",5001,"The Beastmaster,1982"
310,"The Beast Master (1959), Andre Norton",Beastmaster 2: Through the Portal of Time (1991),Beastmaster 2: Through the Portal of Time,1991,"Beastmaster 2: Through the Portal of Time,1991",tt0101412,Beastmaster 2: Through the Portal of Time,Beastmaster 2: Through the Portal of Time,0,1991,107,"Action,Adventure,Fantasy",4.2,3811,Beastmaster 2: Through the Portal of Time,The Beast Master,Andre Norton,"The Beast Master,Andre Norton",The Beast Master,"[""Andre Norton""]",4,2260,4885,4885,"Aug 30, 1991",Beastmaster 2: Through the Portal of Time,6000000,773490,"$773,490",4801,"Beastmaster 2: Through the Portal of Time,1991"
341,"Beloved (1987), Toni Morrison",Beloved (1998),Beloved,1998,"Beloved,1998",tt0120603,Beloved,Beloved,0,1998,172,"Drama,History,Horror",6.1,9917,Beloved,Beloved,Toni Morrison,"Beloved,Toni Morrison",Beloved,"[""Toni Morrison""]",3.95,441460,1305,1305,"Oct 16, 1998",Beloved,53000000,22852487,"$22,852,487",1301,"Beloved,1998"
344,"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",Ben-Hur (1959),Ben-Hur,1959,"Ben-Hur,1959",tt0052618,Ben-Hur,Ben-Hur,0,1959,212,"Adventure,Drama",8.1,266832,Ben-Hur,Ben-Hur: A Tale of the Christ,Lew Wallace,"Ben-Hur: A Tale of the Christ,Lew Wallace",Ben-Hur: A Tale of the Christ,"[""Lew Wallace""]",4.03,36264,3520,3520,"Nov 18, 1959",Ben-Hur,15000000,73000000,"$73,226,628",3501,"Ben-Hur,1959"
346,"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",Ben-Hur (2016),Ben-Hur,2016,"Ben-Hur,2016",tt2638144,Ben-Hur,Ben-Hur,0,2016,123,"Action,Adventure,Drama",5.7,48880,Ben-Hur,Ben-Hur: A Tale of the Christ,Lew Wallace,"Ben-Hur: A Tale of the Christ,Lew Wallace",Ben-Hur: A Tale of the Christ,"[""Lew Wallace""]",4.03,36264,566,566,"Jun 30, 2016",Ben-Hur,95000000,26410477,"$91,669,648",501,"Ben-Hur,2016"
362,"The BFG (1982), Roald Dahl",The BFG (2016),The BFG,2016,"The BFG,2016",tt3691740,The BFG,The BFG,0,2016,117,"Adventure,Family,Fantasy",6.3,97818,The BFG,The BFG,Roald Dahl,"The BFG,Roald Dahl",The BFG,"[""Roald Dahl""]",4.23,487178,309,309,"Jun 30, 2016",The BFG,140000000,55483770,"$199,646,680",301,"The BFG,2016"
367,"The Big Bounce (written 1966, published 1969), Elmore Leonard",The Big Bounce (2004),The Big Bounce,2004,"The Big Bounce,2004",tt0315824,The Big Bounce,The Big Bounce,0,2004,88,"Comedy,Crime",4.9,19181,The Big Bounce,The Big Bounce,Elmore Leonard,"The Big Bounce,Elmore Leonard",The Big Bounce,"[""Elmore Leonard""]",3.4,2505,1459,1459,"Jan 30, 2004",The Big Bounce,50000000,6471394,"$6,626,115",1401,"The Big Bounce,2004"
376,"Big Trouble (1999), Dave Barry",Big Trouble (2002),Big Trouble,2002,"Big Trouble,2002",tt0246464,Big Trouble,Big Trouble,0,2002,85,"Comedy,Crime,Thriller",6.4,22623,Big Trouble,Big Trouble,Dave Barry,"Big Trouble,Dave Barry",Big Trouble,"[""Dave Barry""]",3.84,15158,1602,1602,"Apr 5, 2002",Big Trouble,45000000,7262288,"$8,488,871",1601,"Big Trouble,2002"
406,"The Black Dahlia (1987), James Ellroy",The Black Dahlia (2006),The Black Dahlia,2006,"The Black Dahlia,2006",tt0387877,The Black Dahlia,The Black Dahlia,0,2006,121,"Crime,Drama,Mystery",5.6,79086,The Black Dahlia,The Black Dahlia,James Ellroy,"The Black Dahlia,James Ellroy",The Black Dahlia,"[""James Ellroy""]",3.77,91552,1159,1159,"Sep 15, 2006",The Black Dahlia,60000000,22672813,"$49,238,525",1101,"The Black Dahlia,2006"
