...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
1198,"First Blood (1972), David Morrell",Rambo III (1988),Rambo III,1988,"Rambo III,1988",tt0095956,Rambo III,Rambo III,0,1988,102,"Action,Adventure,Thriller",5.8,146988,Rambo III,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,1192,1192,"May 25, 1988",Rambo III,58000000,53715611,"$188,715,611",1101,"Rambo III,1988"
1199,"First Blood (1972), David Morrell",Rambo (2008),Rambo,2008,"Rambo,2008",tt0462499,Rambo,Rambo,0,2008,92,"Action,Thriller",7,253526,Rambo,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,1496,1496,"Jan 25, 2008",Rambo,47500000,42754105,"$113,244,290",1401,"Rambo,2008"
1200,"First Blood (1972), David Morrell",Rambo: Last Blood (2019),Rambo: Last Blood,2019,"Rambo: Last Blood,2019",tt1206885,Rambo: Last Blood,Rambo: Last Blood,0,2019,89,"Action,Crime,Thriller",6.1,117158,Rambo: Last Blood,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,1392,1392,"Sep 19, 2019",Rambo: Last Blood,50000000,44819352,"$91,378,886",1301,"Rambo: Last Blood,2019"
1207,"The First Wives Club (1992), Olivia Goldsmith",The First Wives Club (1996),The First Wives Club,1996,"The First Wives Club,1996",tt0116313,The First Wives Club,The First Wives Club,0,1996,103,Comedy,6.5,57901,The First Wives Club,The First Wives Club,Olivia Goldsmith,"The First Wives Club,Olivia Goldsmith",The First Wives Club,"[""Olivia Goldsmith""]",3.89,20686,2198,2198,"Sep 20, 1996",The First Wives Club,30000000,105489203,"$181,489,203",2101,"The First Wives Club,1996"
1221,"Flight of the Intruder (1986), Stephen Coonts",Flight of the Intruder (1991),Flight of the Intruder,1991,"Flight of the Intruder,1991",tt0099587,Flight of the Intruder,Flight of the Intruder,0,1991,115,"Action,Drama,Thriller",5.8,8248,Flight of the Intruder,Flight of the Intruder,Stephen Coonts,"Flight of the Intruder,Stephen Coonts",Flight of the Intruder,"[""Stephen Coonts""]",4.09,28769,2054,2054,"Jan 18, 1991",Flight of the Intruder,35000000,14471440,"$14,471,440",2001,"Flight of the Intruder,1991"
1223,"The Flight of the Phoenix (1964), Elleston Trevor",Flight of the Phoenix (2004),Flight of the Phoenix,2004,"Flight of the Phoenix,2004",tt0377062,Flight of the Phoenix,Flight of the Phoenix,0,2004,113,"Action,Adventure,Drama",6.1,58341,Flight of the Phoenix,The Flight of the Phoenix,Elleston Trevor,"The Flight of the Phoenix,Elleston Trevor",The Flight of the Phoenix,"[""Elleston Trevor""]",3.92,642,854,854,"Dec 17, 2004",Flight of the Phoenix,75000000,21009180,"$34,009,180",801,"Flight of the Phoenix,2004"
1234,"For Love of the Game (1991), Michael Shaara",For Love of the Game (1999),For Love of the Game,1999,"For Love of the Game,1999",tt0126916,For Love of the Game,For Love of the Game,0,1999,137,"Drama,Romance,Sport",6.6,39664,For Love of the Game,For Love of the Game,Michael Shaara,"For Love of the Game,Michael Shaara",For Love of the Game,"[""Michael Shaara""]",3.91,1604,1407,1407,"Sep 17, 1999",For Love of the Game,50000000,35188640,"$46,112,640",1401,"For Love of the Game,1999"
1242,"Forrest Gump (1986), Winston Groom",Forrest Gump (1994),Forrest Gump,1994,"Forrest Gump,1994",tt0109830,Forrest Gump,Forrest Gump,0,1994,142,"Drama,Romance",8.8,2427982,Forrest Gump,Forrest Gump,Winston Groom,"Forrest Gump,Winston Groom",Forrest Gump,"[""Winston Groom""]",4.02,68901,1217,1217,"Jul 6, 1994",Forrest Gump,55000000,330151138,"$679,835,137",1201,"Forrest Gump,1994"
1242,"Forrest Gump (1986), Winston Groom",Forrest Gump (1994),Forrest Gump,1994,"Forrest Gump,1994",tt0109830,Forrest Gump,Forrest Gump,0,1994,142,"Drama,Romance",8.8,2427982,Forrest Gump,Forrest Gump,Winston Groom,"Forrest Gump,Winston Groom",Forrest Gump,"[""Winston Groom""]",3.7,327,1217,1217,"Jul 6, 1994",Forrest Gump,55000000,330151138,"$679,835,137",1201,"Forrest Gump,1994"
1336,"Freaky Friday (1972), Mary Rodgers",Freaky Friday (2003),Freaky Friday,2003,"Freaky Friday,2003",tt0322330,Freaky Friday,Freaky Friday,0,2003,97,"Comedy,Family,Fantasy",6.4,171308,Freaky Friday,Freaky Friday,Mary Rodgers,"Freaky Friday,Mary Rodgers",Freaky Friday,"[""Mary Rodgers""]",3.68,8693,2507,2507,"Aug 6, 2003",Freaky Friday,26000000,110222438,"$160,822,438",2501,"Freaky Friday,2003"
1338,"Freaky Friday (1972), Mary Rodgers",Freakier Friday (2025)[N 17],Freakier Friday,2025,"Freakier Friday,2025",tt31956415,Freakier Friday,Freakier Friday,0,2025,110,"Comedy,Family,Fantasy",6.6,19946,Freakier Friday,Freaky Friday,Mary Rodgers,"Freaky Friday,Mary Rodgers",Freaky Friday,"[""Mary Rodgers""]",3.68,8693,1633,1633,"Aug 6, 2025",Freakier Friday,42000000,94186236,"$153,134,429",1601,"Freakier Friday,2025"
1341,"Fried Green Tomatoes at the Whistle Stop Cafe (1987), Fannie Flagg",Fried Green Tomatoes (1991),Fried Green Tomatoes,1991,"Fried Green Tomatoes,1991",tt0101921,Fried Green Tomatoes,Fried Green Tomatoes,0,1991,130,Drama,7.7,89153,Fried Green Tomatoes,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg",Fried Green Tomatoes at the Whistle Stop Cafe,"[""Fannie Flagg""]",4.28,308885,4048,4048,"Dec 27, 1991",Fried Green Tomatoes,11000000,81204830,"$81,204,830",4001,"Fried Green Tomatoes,1991"
1383,"Get Shorty (1990), Elmore Leonard",Get Shorty (1995),Get Shorty,1995,"Get Shorty,1995",tt0113161,Get Shorty,Get Shorty,0,1995,105,"Comedy,Crime,Thriller",6.9,95235,Get Shorty,Get Shorty,Elmore Leonard,"Get Shorty,Elmore Leonard",Get Shorty,"[""Elmore Leonard""]",3.96,23737,2179,2179,"Oct 20, 1995",Get Shorty,30250000,72021008,"$115,021,008",2101,"Get Shorty,1995"
1398,"Girl with a Pearl Earring (1999), Tracy Chevalier",Girl with a Pearl Earring (2003),Girl with a Pearl Earring,2003,"Girl with a Pearl Earring,2003",tt0335119,Girl with a Pearl Earring,Girl with a Pearl Earring,0,2003,100,"Biography,Drama,Romance",6.9,84862,Girl with a Pearl Earring,Girl with a Pearl Earring,Tracy Chevalier,"Girl with a Pearl Earring,Tracy Chevalier",Girl with a Pearl Earring,"[""Tracy Chevalier""]",3.93,740869,3967,3967,"Dec 12, 2003",Girl with a Pearl Earring,12000000,11634362,"$43,153,588",3901,"Girl with a Pearl Earring,2003"
1413,"The Godfather (1969), Mario Puzo",The Godfather (1972),The Godfather,1972,"The Godfather,1972",tt0068646,The Godfather,The Godfather,0,1972,175,"Crime,Drama",9.2,2167528,The Godfather,The Godfather,Mario Puzo,"The Godfather,Mario Puzo",The Godfather,"[""Mario Puzo""]",4.39,424859,4661,4661,"Mar 15, 1972",The Godfather,7000000,136479994,"$270,007,394",4601,"The Godfather,1972"
1428,"Gone with the Wind (1936), Margaret Mitchell",Gone with the Wind (1939),Gone with the Wind,1939,"Gone with the Wind,1939",tt0031381,Gone with the Wind,Gone with the Wind,0,1939,238,"Drama,Romance,War",8.2,351009,Gone with the Wind,Gone with the Wind,Margaret Mitchell,"Gone with the Wind,Margaret Mitchell",Gone with the Wind,"[""Margaret Mitchell""]",4.31,1212836,5346,5346,"Dec 15, 1939",Gone with the Wind,3900000,198680470,"$390,516,513",5301,"Gone with the Wind,1939"
1430,"The Good German (2001), Joseph Kanon",The Good German (2006),The Good German,2006,"The Good German,2006",tt0452624,The Good German,The Good German,0,2006,105,"Drama,Mystery,Romance",6,26765,The Good German,The Good German,Joseph Kanon,"The Good German,Joseph Kanon",The Good German,"[""Joseph Kanon""]",3.78,6846,2162,2162,"Dec 15, 2006",The Good German,32000000,1308696,"$6,678,033",2101,"The Good German,2006"
1431,"Good Morning, Midnight (2016), Lily Brooks-Dalton",The Midnight Sky (2020),The Midnight Sky,2020,"The Midnight Sky,2020",tt10539608,The Midnight Sky,The Midnight Sky,0,2020,118,"Adventure,Drama,Sci-Fi",5.7,92579,The Midnight Sky,"Good Morning, Midnight",Lily Brooks-Dalton,"Good Morning, Midnight,Lily Brooks-Dalton","Good Morning, Midnight","[""Lily Brooks-Dalton""]",3.9,21142,545,545,"Dec 9, 2020",The Midnight Sky,100000000,0,"$75,615",501,"The Midnight Sky,2020"
1455,"The Great Gatsby (1925), F. Scott Fitzgerald",The Great Gatsby (1974),The Great Gatsby,1974,"The Great Gatsby,1974",tt0071577,The Great Gatsby,The Great Gatsby,0,1974,144,"Drama,Romance",6.4,28352,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby,F. Scott Fitzgerald",The Great Gatsby,"[""F. Scott Fitzgerald""]",3.93,5299600,4678,4678,"Mar 29, 1974",The Great Gatsby,7000000,26533200,"$26,533,200",4601,"The Great Gatsby,1974"
1455,"The Great Gatsby (1925), F. Scott Fitzgerald",The Great Gatsby (1974),The Great Gatsby,1974,"The Great Gatsby,1974",tt0071577,The Great Gatsby,The Great Gatsby,0,1974,144,"Drama,Romance",6.4,28352,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby,F. Scott Fitzgerald",The Great Gatsby,"[""F. Scott Fitzgerald""]",3.93,5299600,4678,4678,"Mar 29, 1974",The Great Gatsby,7000000,26533200,"$26,533,200",4601,"The Great Gatsby,1974"
1455,"The Great Gatsby (1925), F. Scott Fitzgerald",The Great Gatsby (1974),The Great Gatsby,1974,"The Great Gatsby,1974",tt0071577,The Great Gatsby,The Great Gatsby,0,1974,144,"Drama,Romance",6.4,28352,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby,F. Scott Fitzgerald",The Great Gatsby,"[""F. Scott Fitzgerald""]",3.93,5299600,4678,4678,"Mar 29, 1974",The Great Gatsby,7000000,26533200,"$26,533,200",4601,"The Great Gatsby,1974"
1459,"The Great Gatsby (1925), F. Scott Fitzgerald",The Great Gatsby (2013),The Great Gatsby,2013,"The Great Gatsby,2013",tt1343092,The Great Gatsby,The Great Gatsby,0,2013,143,"Drama,Romance",7.2,629897,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby,F. Scott Fitzgerald",The Great Gatsby,"[""F. Scott Fitzgerald""]",3.93,5299600,123,123,"May 10, 2013",The Great Gatsby,190000000,144840419,"$353,497,733",101,"The Great Gatsby,2013"
1459,"The Great Gatsby (1925), F. Scott Fitzgerald",The Great Gatsby (2013),The Great Gatsby,2013,"The Great Gatsby,2013",tt1343092,The Great Gatsby,The Great Gatsby,0,2013,143,"Drama,Romance",7.2,629897,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby,F. Scott Fitzgerald",The Great Gatsby,"[""F. Scott Fitzgerald""]",3.93,5299600,123,123,"May 10, 2013",The Great Gatsby,190000000,144840419,"$353,497,733",101,"The Great Gatsby,2013"
1459,"The Great Gatsby (1925), F. Scott Fitzgerald",The Great Gatsby (2013),The Great Gatsby,2013,"The Great Gatsby,2013",tt1343092,The Great Gatsby,The Great Gatsby,0,2013,143,"Drama,Romance",7.2,629897,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby,F. Scott Fitzgerald",The Great Gatsby,"[""F. Scott Fitzgerald""]",3.93,5299600,123,123,"May 10, 2013",The Great Gatsby,190000000,144840419,"$353,497,733",101,"The Great Gatsby,2013"
1532,"Hart's War (1999), John Katzenbach",Hart's War (2002),Hart's War,2002,"Hart's War,2002",tt0251114,Hart's War,Hart's War,0,2002,125,"Drama,War",6.4,57181,Hart's War,Hart's War,John Katzenbach,"Hart's War,John Katzenbach",Hart's War,"[""John Katzenbach""]",4.02,1674,939,939,"Feb 15, 2002",Hart's War,70000000,19076815,"$33,076,815",901,"Hart's War,2002"
1540,"The Haunting of Hill House (1959), Shirley Jackson",The Haunting (1999),The Haunting,1999,"The Haunting,1999",tt0171363,The Haunting,The Haunting,0,1999,113,"Fantasy,Horror,Mystery",5,83518,The Haunting,The Haunting of Hill House,Shirley Jackson,"The Haunting of Hill House,Shirley Jackson",The Haunting of Hill House,"[""Shirley Jackson""]",3.82,310339,733,733,"Jul 23, 1999",The Haunting,80000000,91188905,"$180,188,905",701,"The Haunting,1999"
1541,"Hawaii (1959), James A. Michener",Hawaii (1966),Hawaii,1966,"Hawaii,1966",tt0060491,Hawaii,Hawaii,0,1966,189,Drama,6.5,3978,Hawaii,Hawaii,James A. Michener,"Hawaii,James A. Michener",Hawaii,"[""James A. Michener""]",4.21,79009,3556,3556,"Oct 10, 1966",Hawaii,15000000,34562222,"$34,562,222",3501,"Hawaii,1966"
1572,"The Help (2009), Kathryn Stockett",The Help (2011),The Help,2011,"The Help,2011",tt1454029,The Help,The Help,0,2011,146,Drama,8.1,520419,The Help,The Help,Kathryn Stockett,"The Help,Kathryn Stockett",The Help,"[""Kathryn Stockett""]",4.47,2793989,2553,2553,"Aug 10, 2011",The Help,25000000,169705587,"$213,120,004",2501,"The Help,2011"
1577,"High Fidelity (1995), Nick Hornby",High Fidelity (2000),High Fidelity,2000,"High Fidelity,2000",tt0146882,High Fidelity,High Fidelity,0,2000,113,"Comedy,Drama,Music",7.4,196959,High Fidelity,High Fidelity,Nick Hornby,"High Fidelity,Nick Hornby",High Fidelity,"[""Nick Hornby""]",3.91,202992,3017,3017,"Mar 31, 2000",High Fidelity,20000000,27277055,"$47,881,663",3001,"High Fidelity,2000"
1580,"The History of Tom Jones, a Foundling (1749), Henry Fielding",Tom Jones (1963),Tom Jones,1963,"Tom Jones,1963",tt0057590,Tom Jones,Tom Jones,0,1963,129,"Adventure,Comedy,History",6.4,15048,Tom Jones,"The History of Tom Jones, a Foundling",Henry Fielding,"The History of Tom Jones, a Foundling,Henry Fielding","The History of Tom Jones, a Foundling","[""Henry Fielding""]",3.75,33461,6088,6088,"Oct 7, 1963",Tom Jones,1000000,37600000,"$37,600,000",6001,"Tom Jones,1963"
1583,"A History of Violence (1997), John Wagner",A History of Violence (2005),A History of Violence,2005,"A History of Violence,2005",tt0399146,A History of Violence,A History of Violence,0,2005,96,"Action,Crime,Drama",7.4,268085,A History of Violence,A History of Violence,John Wagner,"A History of Violence,John Wagner",A History of Violence,"[""John Wagner""]",3.5,2812,2148,2148,"Sep 23, 2005",A History of Violence,32000000,31493782,"$61,477,797",2101,"A History of Violence,2005"
1616,"Horseman, Pass By (1961), Larry McMurtry",Hud (1963),Hud,1963,"Hud,1963",tt0057163,Hud,Hud,0,1963,112,"Drama,Western",7.8,25414,Hud,"Horseman, Pass By",Larry McMurtry,"Horseman, Pass By,Larry McMurtry","Horseman, Pass By","[""Larry McMurtry""]",3.94,4739,5643,5643,"May 29, 1963",Hud,2500000,10000000,"$10,000,000",5601,"Hud,1963"
1617,"The Host (2008), Stephenie Meyer",The Host (2013),The Host,2013,"The Host,2013",tt1517260,The Host,The Host,0,2013,125,"Action,Adventure,Drama",5.8,120897,The Host,The Host,Stephenie Meyer,"The Host,Stephenie Meyer",The Host,"[""Stephenie Meyer""]",3.86,1011597,1420,1420,"Mar 22, 2013",The Host,50000000,26623701,"$64,477,051",1401,"The Host,2013"
1641,"The Hours (1998), Michael Cunningham",The Hours (2002),The Hours,2002,"The Hours,2002",tt0274558,The Hours,The Hours,0,2002,110,"Drama,Romance",7.5,145416,The Hours,The Hours,Michael Cunningham,"The Hours,Michael Cunningham",The Hours,"[""Michael Cunningham""]",3.95,142269,2604,2604,"Dec 27, 2002",The Hours,25000000,41675994,"$97,030,468",2601,"The Hours,2002"
1646,"How Green Was My Valley (1939), Richard Llewellyn",How Green Was My Valley (1941),How Green Was My Valley,1941,"How Green Was My Valley,1941",tt0033729,How Green Was My Valley,How Green Was My Valley,0,1941,118,"Drama,Family",7.7,28401,How Green Was My Valley,How Green Was My Valley,Richard Llewellyn,"How Green Was My Valley,Richard Llewellyn",How Green Was My Valley,"[""Richard Llewellyn""]",4.2,17575,6022,6022,"Oct 28, 1941",How Green Was My Valley,1250000,0,$382,6001,"How Green Was My Valley,1941"
1648,"The Howling (1977), Gary Brandner",The Howling (1981),The Howling,1981,"The Howling,1981",tt0082533,The Howling,The Howling,0,1981,91,Horror,6.5,43204,The Howling,The Howling,Gary Brandner,"The Howling,Gary Brandner",The Howling,"[""Gary Brandner""]",3.95,14063,6093,6093,"Apr 10, 1981",The Howling,1000000,17985000,"$17,985,130",6001,"The Howling,1981"
1690,"The Hunt for Red October (1984), Tom Clancy",The Hunt for Red October (1990),The Hunt for Red October,1990,"The Hunt for Red October,1990",tt0099810,The Hunt for Red October,The Hunt for Red October,0,1990,135,"Action,Adventure,Thriller",7.5,226308,The Hunt for Red October,The Hunt for Red October,Tom Clancy,"The Hunt for Red October,Tom Clancy",The Hunt for Red October,"[""Tom Clancy""]",4.11,376321,2189,2189,"Mar 2, 1990",The Hunt for Red October,30000000,120709866,"$200,500,000",2101,"The Hunt for Red October,1990"
1694,"The Hustler (1959), Walter Tevis",The Hustler (1961),The Hustler,1961,"The Hustler,1961",tt0054997,The Hustler,The Hustler,0,1961,134,"Drama,Sport",7.9,89869,The Hustler,The Hustler,Walter Tevis,"The Hustler,Walter Tevis",The Hustler,"[""Walter Tevis""]",4.11,4031,5741,5741,"Sep 25, 1961",The Hustler,2000000,7600000,"$7,600,738",5701,"The Hustler,1961"
1700,"I Know What You Did Last Summer (1973), Lois Duncan",I Know What You Did Last Summer (1997),I Know What You Did Last Summer,1997,"I Know What You Did Last Summer,1997",tt0119345,I Know What You Did Last Summer,I Know What You Did Last Summer,0,1997,101,"Horror,Mystery",5.8,175541,I Know What You Did Last Summer,I Know What You Did Last Summer,Lois Duncan,"I Know What You Did Last Summer,Lois Duncan",I Know What You Did Last Summer,"[""Lois Duncan""]",3.42,17079,3357,3357,"Oct 17, 1997",I Know What You Did Last Summer,17000000,72250091,"$125,250,091",3301,"I Know What You Did Last Summer,1997"
1703,"I Love You, Beth Cooper (2007), Larry Doyle","I Love You, Beth Cooper (2009)","I Love You, Beth Cooper",2009,"I Love You, Beth Cooper,2009",tt1032815,"I Love You, Beth Cooper","I Love You, Beth Cooper",0,2009,102,"Adventure,Comedy,Family",5.3,38900,"I Love You, Beth Cooper","I Love You, Beth Cooper",Larry Doyle,"I Love You, Beth Cooper,Larry Doyle","I Love You, Beth Cooper","[""Larry Doyle""]",3.29,7515,3294,3294,"Jul 10, 2009","I Love You, Beth Cooper",18000000,14800725,"$16,382,538",3201,"I Love You, Beth Cooper,2009"
1707,"If I Die Before I Wake (1938), Sherwood King",The Lady from Shanghai (1947),The Lady from Shanghai,1947,"The Lady from Shanghai,1947",tt0040525,The Lady from Shanghai,The Lady from Shanghai,0,1947,87,"Crime,Drama,Film-Noir",7.5,35879,The Lady from Shanghai,If I Die Before I Wake,Sherwood King,"If I Die Before I Wake,Sherwood King",If I Die Before I Wake,"[""Sherwood King""]",3.66,222,5823,5823,"Dec 24, 1947",The Lady from Shanghai,2000000,0,"$1,412",5801,"The Lady from Shanghai,1947"
1723,"Interview with the Vampire (1976), Anne Rice",Interview with the Vampire (1994),Interview with the Vampire,1994,"Interview with the Vampire,1994",tt0110148,Interview with the Vampire,Interview with the Vampire: The Vampire Chronicles,0,1994,123,"Drama,Fantasy,Horror",7.5,368813,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire,Anne Rice,"Interview with the Vampire,Anne Rice",Interview with the Vampire,"[""Anne Rice""]",4.02,594912,1342,1342,"Nov 11, 1994",Interview with the Vampire,50000000,105341412,"$223,641,412",1301,"Interview with the Vampire,1994"
1740,"The Island (1979), Peter Benchley",The Island (1980),The Island,1980,"The Island,1980",tt0080934,The Island,The Island,0,1980,114,"Action,Adventure,Drama",5.3,5035,The Island,The Island,Peter Benchley,"The Island,Peter Benchley",The Island,"[""Peter Benchley""]",3.34,2196,2863,2863,"Jun 13, 1980",The Island,22000000,15716828,"$15,716,828",2801,"The Island,1980"
1779,"Jaws (1974), Peter Benchley",Jaws (1975),Jaws,1975,"Jaws,1975",tt0073195,Jaws,Jaws,0,1975,124,"Adventure,Horror,Thriller",8.1,719009,Jaws,Jaws,Peter Benchley,"Jaws,Peter Benchley",Jaws,"[""Peter Benchley""]",3.96,163991,3900,3900,"Jun 20, 1975",Jaws,12000000,286481270,"$497,165,413",3801,"Jaws,1975"
1780,"Jaws (1974), Peter Benchley",Jaws 2 (1978),Jaws 2,1978,"Jaws 2,1978",tt0077766,Jaws 2,Jaws 2,0,1978,116,"Adventure,Horror,Thriller",5.8,90963,Jaws 2,Jaws,Peter Benchley,"Jaws,Peter Benchley",Jaws,"[""Peter Benchley""]",3.96,163991,2933,2933,"Jun 16, 1978",Jaws 2,20000000,102922376,"$208,900,376",2901,"Jaws 2,1978"
1836,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Forbidden Kingdom (2008),The Forbidden Kingdom,2008,"The Forbidden Kingdom,2008",tt0865556,The Forbidden Kingdom,The Forbidden Kingdom,0,2008,104,"Action,Adventure,Fantasy",6.5,112480,The Forbidden Kingdom,Journey to the West,Wu Cheng'en,"Journey to the West,Wu Cheng'en",Journey to the West,"[""Wu Cheng'en""]",4.34,2215,1254,1254,"Apr 18, 2008",The Forbidden Kingdom,55000000,52075270,"$129,059,885",1201,"The Forbidden Kingdom,2008"
1836,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",The Forbidden Kingdom (2008),The Forbidden Kingdom,2008,"The Forbidden Kingdom,2008",tt0865556,The Forbidden Kingdom,The Forbidden Kingdom,0,2008,104,"Action,Adventure,Fantasy",6.5,112480,The Forbidden Kingdom,Journey to the West,Wu Cheng'en,"Journey to the West,Wu Cheng'en",Journey to the West,"[""Wu Cheng'en""]",4.34,2215,1254,1254,"Apr 18, 2008",The Forbidden Kingdom,55000000,52075270,"$129,059,885",1201,"The Forbidden Kingdom,2008"
1868,"Jurassic Park (1990), Michael Crichton",Jurassic Park (1993),Jurassic Park,1993,"Jurassic Park,1993",tt0107290,Jurassic Park,Jurassic Park,0,1993,127,"Action,Adventure,Sci-Fi",8.2,1147817,Jurassic Park,Jurassic Park,Michael Crichton,"Jurassic Park,Michael Crichton",Jurassic Park,"[""Michael Crichton""]",4.1,967542,1041,1041,"Jun 11, 1993",Jurassic Park,63000000,415404543,"$1,058,454,230",1001,"Jurassic Park,1993"
1869,"Jurassic Park (1990), Michael Crichton",The Lost World: Jurassic Park (1997)[N 35],The Lost World: Jurassic Park,1997,"The Lost World: Jurassic Park,1997",tt0119567,The Lost World: Jurassic Park,The Lost World: Jurassic Park,0,1997,129,"Action,Adventure,Sci-Fi",6.6,469381,The Lost World: Jurassic Park,Jurassic Park,Michael Crichton,"Jurassic Park,Michael Crichton",Jurassic Park,"[""Michael Crichton""]",4.1,967542,810,810,"May 22, 1997",The Lost World: Jurassic Park,75000000,229086679,"$618,638,999",801,"The Lost World: Jurassic Park,1997"
1870,"Jurassic Park (1990), Michael Crichton",Jurassic Park III (2001),Jurassic Park III,2001,"Jurassic Park III,2001",tt0163025,Jurassic Park III,Jurassic Park III,0,2001,92,"Action,Adventure,Sci-Fi",6,362341,Jurassic Park III,Jurassic Park,Michael Crichton,"Jurassic Park,Michael Crichton",Jurassic Park,"[""Michael Crichton""]",4.1,967542,575,575,"Jul 18, 2001",Jurassic Park III,93000000,181166115,"$365,900,000",501,"Jurassic Park III,2001"
1871,"Jurassic Park (1990), Michael Crichton",Jurassic World (2015),Jurassic World,2015,"Jurassic World,2015",tt0369610,Jurassic World,Jurassic World,0,2015,124,"Action,Adventure,Sci-Fi",6.9,716033,Jurassic World,Jurassic Park,Michael Crichton,"Jurassic Park,Michael Crichton",Jurassic Park,"[""Michael Crichton""]",4.1,967542,52,52,"Jun 9, 2015",Jurassic World,215000000,653406625,"$1,671,063,641",1,"Jurassic World,2015"
1872,"Jurassic Park (1990), Michael Crichton",Jurassic World: Fallen Kingdom (2018),Jurassic World: Fallen Kingdom,2018,"Jurassic World: Fallen Kingdom,2018",tt4881806,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,0,2018,128,"Action,Adventure,Sci-Fi",6.1,371716,Jurassic World: Fallen Kingdom,Jurassic Park,Michael Crichton,"Jurassic Park,Michael Crichton",Jurassic Park,"[""Michael Crichton""]",4.1,967542,180,180,"Jun 6, 2018",Jurassic World: Fallen Kingdom,170000000,417719760,"$1,308,323,302",101,"Jurassic World: Fallen Kingdom,2018"
1897,"The King's Damosel (1976), Vera Chapman",Quest for Camelot (1998),Quest for Camelot,1998,"Quest for Camelot,1998",tt0120800,Quest for Camelot,Quest for Camelot,0,1998,86,"Adventure,Animation,Comedy",6.3,19224,Quest for Camelot,The King's Damosel,Vera Chapman,"The King's Damosel,Vera Chapman",The King's Damosel,"[""Vera Chapman""]",3.48,273,1791,1791,"May 15, 1998",Quest for Camelot,40000000,22772500,"$38,172,500",1701,"Quest for Camelot,1998"
1901,"The Killer Angels (1974), Michael Shaara",Gettysburg (1993),Gettysburg,1993,"Gettysburg,1993",tt0107007,Gettysburg,Gettysburg,0,1993,254,"Drama,History,War",7.6,32871,Gettysburg,The Killer Angels,Michael Shaara,"The Killer Angels,Michael Shaara",The Killer Angels,"[""Michael Shaara""]",4.33,86807,2692,2692,"Oct 8, 1993",Gettysburg,25000000,10731997,"$10,731,997",2601,"Gettysburg,1993"
1903,"The Killer Inside Me (1952), Jim Thompson",The Killer Inside Me (2010),The Killer Inside Me,2010,"The Killer Inside Me,2010",tt0954947,The Killer Inside Me,The Killer Inside Me,0,2010,109,"Crime,Drama,Mystery",6.1,36672,The Killer Inside Me,The Killer Inside Me,Jim Thompson,"The Killer Inside Me,Jim Thompson",The Killer Inside Me,"[""Jim Thompson""]",3.86,23424,3865,3865,"Jun 18, 2010",The Killer Inside Me,13000000,217277,"$5,453,369",3801,"The Killer Inside Me,2010"
1909,"Kiss the Girls (1995), James Patterson",Kiss the Girls (1997),Kiss the Girls,1997,"Kiss the Girls,1997",tt0119468,Kiss the Girls,Kiss the Girls,0,1997,115,"Crime,Drama,Mystery",6.6,98263,Kiss the Girls,Kiss the Girls,James Patterson,"Kiss the Girls,James Patterson",Kiss the Girls,"[""James Patterson""]",3.99,339287,2478,2478,"Oct 3, 1997",Kiss the Girls,27000000,60527873,"$60,527,873",2401,"Kiss the Girls,1997"
1922,"L.A. Confidential (1990), James Ellroy",L.A. Confidential (1997),L.A. Confidential,1997,"L.A. Confidential,1997",tt0119488,L.A. Confidential,L.A. Confidential,0,1997,138,"Crime,Drama,Mystery",8.2,648980,L.A. Confidential,L.A. Confidential,James Ellroy,"L.A. Confidential,James Ellroy",L.A. Confidential,"[""James Ellroy""]",4.18,34752,1973,1973,"Sep 19, 1997",L.A. Confidential,35000000,64604977,"$126,204,977",1901,"L.A. Confidential,1997"
