movie_match,...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,book_year_str,book_year,book_movie_years,ROI
"Fifty Shades Darker,2017",1182,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",Fifty Shades Darker (2017),Fifty Shades Darker,2017,"Fifty Shades Darker,2017",tt4465564,Fifty Shades Darker,Fifty Shades Darker,0,2017,118,"Drama,Mystery,Romance",Drama,Mystery,Romance,4.6,118950,Fifty Shades Darker,Fifty Shades,"Fifty Shades (2011—2012) (series)[N 13], E. L. James","Fifty Shades,Fifty Shades (2011—2012) (series)[N 13], E. L. James",NA,NA,NA,NA,412,"$381,545,846","$114,581,250",30%,"$266,964,596",70%,2017,1227,1227,"Feb 8, 2017",Fifty Shades Darker,55000000,114434010,381367046,1201,2011,2011,6,5.933946290909091
"Fifty Shades Freed,2018",1183,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",Fifty Shades Freed (2018),Fifty Shades Freed,2018,"Fifty Shades Freed,2018",tt4477536,Fifty Shades Freed,Fifty Shades Freed,0,2018,105,"Drama,Mystery,Romance",Drama,Mystery,Romance,4.6,80876,Fifty Shades Freed,Fifty Shades,"Fifty Shades (2011—2012) (series)[N 13], E. L. James","Fifty Shades,Fifty Shades (2011—2012) (series)[N 13], E. L. James",NA,NA,NA,NA,431,"$371,985,018","$100,407,760",27%,"$271,577,258",73%,2018,1234,1234,"Feb 7, 2018",Fifty Shades Freed,55000000,100407760,371985018,1201,2011,2011,7,5.763363963636364
"Fifty Shades of Grey,2015",1181,"Fifty Shades (2011—2012) (series)[N 13], E. L. James",Fifty Shades of Grey (2015),Fifty Shades of Grey,2015,"Fifty Shades of Grey,2015",tt2322441,Fifty Shades of Grey,Fifty Shades of Grey,0,2015,125,"Drama,Romance,Thriller",Drama,Romance,Thriller,4.2,350920,Fifty Shades of Grey,Fifty Shades,"Fifty Shades (2011—2012) (series)[N 13], E. L. James","Fifty Shades,Fifty Shades (2011—2012) (series)[N 13], E. L. James",NA,NA,NA,NA,215,"$569,651,467","$166,167,230",29.2%,"$403,484,237",70.8%,2015,1667,1667,"Feb 11, 2015",Fifty Shades of Grey,40000000,166167230,570794950,1601,2011,2011,4,13.26987375
"Fight Club,1999",1184,"Fight Club (1996), Chuck Palahniuk",Fight Club (1999),Fight Club,1999,"Fight Club,1999",tt0137523,Fight Club,Fight Club,0,1999,139,"Crime,Drama,Thriller",Crime,Drama,Thriller,8.8,2524439,Fight Club,Fight Club,Chuck Palahniuk,"Fight Club,Chuck Palahniuk",Fight Club,"[""Chuck Palahniuk""]",4.19,597253,NA,NA,NA,NA,NA,NA,NA,1017,1017,"Oct 15, 1999",Fight Club,65000000,37030102,100820947,1001,1996,1996,3,0.5510914923076923
"Finding Neverland,2004",2512,"Peter and Wendy (1911)[N 28], J. M. Barrie",Finding Neverland (2004),Finding Neverland,2004,"Finding Neverland,2004",tt0308644,Finding Neverland,Finding Neverland,0,2004,106,"Biography,Drama,Family",Biography,Drama,Family,7.6,215868,Finding Neverland,Peter and Wendy,"Peter and Wendy (1911)[N 28], J. M. Barrie","Peter and Wendy,Peter and Wendy (1911)[N 28], J. M. Barrie",NA,NA,3.98,7224,NA,NA,NA,NA,NA,NA,NA,2590,2590,"Nov 12, 2004",Finding Neverland,25000000,51676606,115036108,2501,1911,1911,93,3.60144432
"Firefox,1982",1189,"Firefox (1977), Craig Thomas",Firefox (1982),Firefox,1982,"Firefox,1982",tt0083943,Firefox,Firefox,0,1982,136,"Action,Adventure,Thriller",Action,Adventure,Thriller,5.9,30837,Firefox,Firefox,Craig Thomas,"Firefox,Craig Thomas",Firefox,"[""Craig Thomas""]",3.94,5973,NA,NA,NA,NA,NA,NA,NA,2892,2892,"Jun 18, 1982",Firefox,21000000,45785720,45785720,2801,1977,1977,5,1.180272380952381
"Firestarter,1984",1192,"Firestarter (1980), Stephen King",Firestarter (1984),Firestarter,1984,"Firestarter,1984",tt0087262,Firestarter,Firestarter,0,1984,114,"Action,Horror,Sci-Fi",Action,Horror,Sci-Fi,6.1,38910,Firestarter,Firestarter,Stephen King,"Firestarter,Stephen King",Firestarter,"[""Stephen King""]",3.91,230728,NA,NA,NA,NA,NA,NA,NA,3605,3605,"May 11, 1984",Firestarter,15000000,15136870,15136870,3601,1980,1980,4,0.009124666666666666
"First Blood,1982",1196,"First Blood (1972), David Morrell",First Blood (1982),First Blood,1982,"First Blood,1982",tt0083944,First Blood,First Blood,0,1982,93,"Action,Adventure,Thriller",Action,Adventure,Thriller,7.7,294478,First Blood,First Blood,David Morrell,"First Blood,David Morrell",First Blood,"[""David Morrell""]",4.04,9947,NA,NA,NA,NA,NA,NA,NA,3722,3722,"Oct 22, 1982",First Blood,14000000,47212904,125212904,3701,1972,1972,10,7.943778857142857
"Flicka,2006",2313,"My Friend Flicka (1941), Mary O'Hara",Flicka (2006),Flicka,2006,"Flicka,2006",tt0434215,Flicka,Flicka,0,2006,95,"Adventure,Drama,Family",Adventure,Drama,Family,6,8814,Flicka,My Friend Flicka,Mary O'Hara,"My Friend Flicka,Mary O'Hara",My Friend Flicka,"[""Mary O'Hara""]",4.17,28903,NA,NA,NA,NA,NA,NA,NA,3590,3590,"Oct 20, 2006",Flicka,15000000,21000147,21896367,3501,1941,1941,65,0.4597578
"Flight of the Intruder,1991",1221,"Flight of the Intruder (1986), Stephen Coonts",Flight of the Intruder (1991),Flight of the Intruder,1991,"Flight of the Intruder,1991",tt0099587,Flight of the Intruder,Flight of the Intruder,0,1991,115,"Action,Drama,Thriller",Action,Drama,Thriller,5.8,8248,Flight of the Intruder,Flight of the Intruder,Stephen Coonts,"Flight of the Intruder,Stephen Coonts",Flight of the Intruder,"[""Stephen Coonts""]",4.09,28769,NA,NA,NA,NA,NA,NA,NA,2054,2054,"Jan 18, 1991",Flight of the Intruder,35000000,14471440,14471440,2001,1986,1986,5,-0.5865302857142857
"Flight of the Phoenix,2004",1223,"The Flight of the Phoenix (1964), Elleston Trevor",Flight of the Phoenix (2004),Flight of the Phoenix,2004,"Flight of the Phoenix,2004",tt0377062,Flight of the Phoenix,Flight of the Phoenix,0,2004,113,"Action,Adventure,Drama",Action,Adventure,Drama,6.1,58341,Flight of the Phoenix,The Flight of the Phoenix,Elleston Trevor,"The Flight of the Phoenix,Elleston Trevor",The Flight of the Phoenix,"[""Elleston Trevor""]",3.92,642,NA,NA,NA,NA,NA,NA,NA,854,854,"Dec 17, 2004",Flight of the Phoenix,75000000,21009180,34009180,801,1964,1964,40,-0.5465442666666667
"For Love of the Game,1999",1234,"For Love of the Game (1991), Michael Shaara",For Love of the Game (1999),For Love of the Game,1999,"For Love of the Game,1999",tt0126916,For Love of the Game,For Love of the Game,0,1999,137,"Drama,Romance,Sport",Drama,Romance,Sport,6.6,39664,For Love of the Game,For Love of the Game,Michael Shaara,"For Love of the Game,Michael Shaara",For Love of the Game,"[""Michael Shaara""]",3.91,1604,NA,NA,NA,NA,NA,NA,NA,1407,1407,"Sep 17, 1999",For Love of the Game,50000000,35188640,46112640,1401,1991,1991,8,-0.0777472
"Force 10 from Navarone,1978",1237,"Force 10 From Navarone (1968), Alistair MacLean",Force 10 from Navarone (1978),Force 10 from Navarone,1978,"Force 10 from Navarone,1978",tt0077572,Force 10 from Navarone,Force 10 from Navarone,0,1978,118,"Action,Drama,War",Action,Drama,War,6.4,20954,Force 10 from Navarone,Force 10 From Navarone,Alistair MacLean,"Force 10 From Navarone,Alistair MacLean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5060,5060,"Dec 22, 1978",Force 10 from Navarone,5000000,7100000,7100000,5001,1968,1968,10,0.42
"Forrest Gump,1994",1242,"Forrest Gump (1986), Winston Groom",Forrest Gump (1994),Forrest Gump,1994,"Forrest Gump,1994",tt0109830,Forrest Gump,Forrest Gump,0,1994,142,"Drama,Romance",Drama,Romance,NA,8.8,2427982,Forrest Gump,Forrest Gump,Winston Groom,"Forrest Gump,Winston Groom",Forrest Gump,"[""Winston Groom""]",4.02,68901,161,"$678,226,465","$330,455,270",48.7%,"$347,771,195",51.3%,1994,1217,1217,"Jul 6, 1994",Forrest Gump,55000000,330151138,679835137,1201,1986,1986,8,11.360638854545455
"Freakier Friday,2025",1338,"Freaky Friday (1972), Mary Rodgers",Freakier Friday (2025)[N 17],Freakier Friday,2025,"Freakier Friday,2025",tt31956415,Freakier Friday,Freakier Friday,0,2025,110,"Comedy,Family,Fantasy",Comedy,Family,Fantasy,6.6,19946,Freakier Friday,Freaky Friday,Mary Rodgers,"Freaky Friday,Mary Rodgers",Freaky Friday,"[""Mary Rodgers""]",3.68,8693,NA,NA,NA,NA,NA,NA,NA,1633,1633,"Aug 6, 2025",Freakier Friday,42000000,94186236,153134429,1601,1972,1972,53,2.6460578333333333
"Freaky Friday,2003",1336,"Freaky Friday (1972), Mary Rodgers",Freaky Friday (2003),Freaky Friday,2003,"Freaky Friday,2003",tt0322330,Freaky Friday,Freaky Friday,0,2003,97,"Comedy,Family,Fantasy",Comedy,Family,Fantasy,6.4,171308,Freaky Friday,Freaky Friday,Mary Rodgers,"Freaky Friday,Mary Rodgers",Freaky Friday,"[""Mary Rodgers""]",3.68,8693,NA,NA,NA,NA,NA,NA,NA,2507,2507,"Aug 6, 2003",Freaky Friday,26000000,110222438,160822438,2501,1972,1972,31,5.185478384615385
"Frenzy,1972",1433,"Goodbye Piccadilly, Farewell Leicester Square (1966), Arthur La Bern",Frenzy (1972),Frenzy,1972,"Frenzy,1972",tt0068611,Frenzy,Frenzy,0,1972,116,"Drama,Thriller",Drama,Thriller,NA,7.4,52398,Frenzy,"Goodbye Piccadilly, Farewell Leicester Square",Arthur La Bern,"Goodbye Piccadilly, Farewell Leicester Square,Arthur La Bern","Goodbye Piccadilly, Farewell Leicester Square","[""Arthur La Bern""]",3.34,NA,NA,NA,NA,NA,NA,NA,NA,5387,5387,"Jun 21, 1972",Frenzy,3500000,12600000,12600267,5301,1966,1966,6,2.6000762857142856
"Fried Green Tomatoes,1991",1341,"Fried Green Tomatoes at the Whistle Stop Cafe (1987), Fannie Flagg",Fried Green Tomatoes (1991),Fried Green Tomatoes,1991,"Fried Green Tomatoes,1991",tt0101921,Fried Green Tomatoes,Fried Green Tomatoes,0,1991,130,Drama,Drama,NA,NA,7.7,89153,Fried Green Tomatoes,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg",Fried Green Tomatoes at the Whistle Stop Cafe,"[""Fannie Flagg""]",4.28,308885,NA,NA,NA,NA,NA,NA,NA,4048,4048,"Dec 27, 1991",Fried Green Tomatoes,11000000,81204830,81204830,4001,1987,1987,4,6.382257272727273
"From Here to Eternity,1953",1345,"From Here to Eternity (1951), James Jones",From Here to Eternity (1953),From Here to Eternity,1953,"From Here to Eternity,1953",tt0045793,From Here to Eternity,From Here to Eternity,0,1953,118,"Drama,Romance,War",Drama,Romance,War,7.6,53382,From Here to Eternity,From Here to Eternity,James Jones,"From Here to Eternity,James Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5904,5904,"Aug 5, 1953",From Here to Eternity,1650000,30500000,30500000,5901,1951,1951,2,17.484848484848484
"Get Carter,2000",1762,"Jack's Return Home (1970), Ted Lewis",Get Carter (2000),Get Carter,2000,"Get Carter,2000",tt0208988,Get Carter,Get Carter,0,2000,102,"Action,Crime,Drama",Action,Crime,Drama,5.2,38595,Get Carter,Jack's Return Home,Ted Lewis,"Jack's Return Home,Ted Lewis",NA,NA,4.15,2111064,NA,NA,NA,NA,NA,NA,NA,1809,1809,"Oct 6, 2000",Get Carter,40000000,14967182,19417182,1801,1970,1970,30,-0.51457045
"Get Shorty,1995",1383,"Get Shorty (1990), Elmore Leonard",Get Shorty (1995),Get Shorty,1995,"Get Shorty,1995",tt0113161,Get Shorty,Get Shorty,0,1995,105,"Comedy,Crime,Thriller",Comedy,Crime,Thriller,6.9,95235,Get Shorty,Get Shorty,Elmore Leonard,"Get Shorty,Elmore Leonard",Get Shorty,"[""Elmore Leonard""]",3.96,23737,NA,NA,NA,NA,NA,NA,NA,2179,2179,"Oct 20, 1995",Get Shorty,30250000,72021008,115021008,2101,1990,1990,5,2.8023473719008263
"Gettysburg,1993",1901,"The Killer Angels (1974), Michael Shaara",Gettysburg (1993),Gettysburg,1993,"Gettysburg,1993",tt0107007,Gettysburg,Gettysburg,0,1993,254,"Drama,History,War",Drama,History,War,7.6,32871,Gettysburg,The Killer Angels,Michael Shaara,"The Killer Angels,Michael Shaara",The Killer Angels,"[""Michael Shaara""]",4.33,86807,NA,NA,NA,NA,NA,NA,NA,2692,2692,"Oct 8, 1993",Gettysburg,25000000,10731997,10731997,2601,1974,1974,19,-0.57072012
"Girl with a Pearl Earring,2003",1398,"Girl with a Pearl Earring (1999), Tracy Chevalier",Girl with a Pearl Earring (2003),Girl with a Pearl Earring,2003,"Girl with a Pearl Earring,2003",tt0335119,Girl with a Pearl Earring,Girl with a Pearl Earring,0,2003,100,"Biography,Drama,Romance",Biography,Drama,Romance,6.9,84862,Girl with a Pearl Earring,Girl with a Pearl Earring,Tracy Chevalier,"Girl with a Pearl Earring,Tracy Chevalier",Girl with a Pearl Earring,"[""Tracy Chevalier""]",3.93,740869,NA,NA,NA,NA,NA,NA,NA,3967,3967,"Dec 12, 2003",Girl with a Pearl Earring,12000000,11634362,43153588,3901,1999,1999,4,2.5961323333333333
"Glory,1989",2013,"Lay This Laurel (1973), Lincoln Kirstein",Glory (1989),Glory,1989,"Glory,1989",tt0097441,Glory,Glory,0,1989,122,"Biography,Drama,History",Biography,Drama,History,7.8,150936,Glory,Lay This Laurel,Lincoln Kirstein,"Lay This Laurel,Lincoln Kirstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3271,3271,"Dec 13, 1989",Glory,18000000,26828365,26828365,3201,1973,1973,16,0.4904647222222222
"Gods and Generals,2003",1416,"Gods and Generals (1996), Jeffrey Shaara",Gods and Generals (2003),Gods and Generals,2003,"Gods and Generals,2003",tt0279111,Gods and Generals,Gods and Generals,0,2003,219,"Biography,Drama,History",Biography,Drama,History,6.2,17862,Gods and Generals,Gods and Generals,Jeffrey Shaara,"Gods and Generals,Jeffrey Shaara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1279,1279,"Feb 21, 2003",Gods and Generals,55000000,12882934,12923936,1201,1996,1996,7,-0.7650193454545454
"Gods and Monsters,1998",1166,"Father of Frankenstein (1995),[34]Christopher Bram",Gods and Monsters (1998),Gods and Monsters,1998,"Gods and Monsters,1998",tt0120684,Gods and Monsters,Gods and Monsters,0,1998,105,"Biography,Drama",Biography,Drama,NA,7.3,33842,Gods and Monsters,Father of Frankenstein,"Father of Frankenstein (1995),[34]Christopher Bram","Father of Frankenstein,Father of Frankenstein (1995),[34]Christopher Bram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5392,5392,"Nov 6, 1998",Gods and Monsters,3500000,6451628,6451628,5301,1995,1995,3,0.8433222857142857
"Goldfinger,1964",1427,"Goldfinger (1959), Ian Fleming",Goldfinger (1964),Goldfinger,1964,"Goldfinger,1964",tt0058150,Goldfinger,Goldfinger,0,1964,110,"Action,Adventure,Thriller",Action,Adventure,Thriller,7.7,212062,Goldfinger,Goldfinger,Ian Fleming,"Goldfinger,Ian Fleming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5461,5461,"Dec 22, 1964",Goldfinger,3000000,51100000,124900000,5401,1959,1959,5,40.63333333333333
"Gone with the Wind,1939",1428,"Gone with the Wind (1936), Margaret Mitchell",Gone with the Wind (1939),Gone with the Wind,1939,"Gone with the Wind,1939",tt0031381,Gone with the Wind,Gone with the Wind,0,1939,238,"Drama,Romance,War",Drama,Romance,War,8.2,351009,Gone with the Wind,Gone with the Wind,Margaret Mitchell,"Gone with the Wind,Margaret Mitchell",Gone with the Wind,"[""Margaret Mitchell""]",4.31,1212836,383,"$402,382,193","$200,882,193",49.9%,"$201,500,000",50.1%,1939,5346,5346,"Dec 15, 1939",Gone with the Wind,3900000,198680470,390516513,5301,1936,1936,3,99.13243923076924
"Hannibal,2001",1517,"Hannibal (1999), Thomas Harris",Hannibal (2001),Hannibal,2001,"Hannibal,2001",tt0212985,Hannibal,Hannibal,0,2001,131,"Crime,Drama,Thriller",Crime,Drama,Thriller,6.8,308696,Hannibal,Hannibal,Thomas Harris,"Hannibal,Thomas Harris",NA,NA,NA,NA,478,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%,2001,644,644,"Feb 9, 2001",Hannibal,87000000,165092266,350100280,601,1999,1999,2,3.0241411494252874
"Harper,1966",2292,"The Moving Target (1949), Ross Macdonald[N 16]",Harper (1966),Harper,1966,"Harper,1966",tt0060490,Harper,Harper,0,1966,121,"Crime,Drama,Mystery",Crime,Drama,Mystery,6.8,11840,Harper,The Moving Target,Ross Macdonald[N 16],"The Moving Target,Ross Macdonald[N 16]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5388,5388,"Feb 23, 1966",Harper,3500000,12000000,12000000,5301,1949,1949,17,2.4285714285714284
"Harry Potter and the Chamber of Secrets,2002",1525,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Chamber of Secrets,2002,"Harry Potter and the Chamber of Secrets,2002",tt0295297,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,0,2002,161,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,7.5,744245,Harry Potter and the Chamber of Secrets,Harry Potter,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling","Harry Potter,Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,84,"$882,933,392","$262,641,637",29.8%,"$620,291,755",70.2%,2002,487,487,"Nov 15, 2002",Harry Potter and the Chamber of Secrets,100000000,263581232,876145955,401,1997,1997,5,7.76145955
"Harry Potter and the Goblet of Fire,2005",1527,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Goblet of Fire (2005),Harry Potter and the Goblet of Fire,2005,"Harry Potter and the Goblet of Fire,2005",tt0330373,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,0,2005,157,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,7.7,731350,Harry Potter and the Goblet of Fire,Harry Potter,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling","Harry Potter,Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,80,"$899,649,442","$290,469,928",32.3%,"$609,179,514",67.7%,2005,237,237,"Nov 18, 2005",Harry Potter and the Goblet of Fire,150000000,291147424,885923981,201,1997,1997,8,4.906159873333333
"Harry Potter and the Half-Blood Prince,2009",1529,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Half-Blood Prince,2009,"Harry Potter and the Half-Blood Prince,2009",tt0417741,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,0,2009,153,"Action,Adventure,Family",Action,Adventure,Family,7.6,640568,Harry Potter and the Half-Blood Prince,Harry Potter,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling","Harry Potter,Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,73,"$941,056,063","$302,334,374",32.1%,"$638,721,689",67.9%,2009,28,28,"Jul 15, 2009",Harry Potter and the Half-Blood Prince,250000000,302854063,926055796,1,1997,1997,12,2.704223184
"Harry Potter and the Order of the Phoenix,2007",1528,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Order of the Phoenix,2007,"Harry Potter and the Order of the Phoenix,2007",tt0373889,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,0,2007,138,"Action,Adventure,Family",Action,Adventure,Family,7.5,679725,Harry Potter and the Order of the Phoenix,Harry Potter,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling","Harry Potter,Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,71,"$942,872,838","$292,382,727",31%,"$650,490,111",69%,2007,236,236,"Jul 11, 2007",Harry Potter and the Order of the Phoenix,150000000,293108509,937444235,201,1997,1997,10,5.2496282333333335
"Harry Potter and the Prisoner of Azkaban,2004",1526,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Prisoner of Azkaban,2004,"Harry Potter and the Prisoner of Azkaban,2004",tt0304141,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,0,2004,142,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,7.9,744356,Harry Potter and the Prisoner of Azkaban,Harry Potter,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling","Harry Potter,Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,109,"$810,004,984","$250,105,651",30.9%,"$559,899,333",69.1%,2004,334,334,"May 31, 2004",Harry Potter and the Prisoner of Azkaban,130000000,250853809,784234714,301,1997,1997,7,5.032574723076923
"Hart's War,2002",1532,"Hart's War (1999), John Katzenbach",Hart's War (2002),Hart's War,2002,"Hart's War,2002",tt0251114,Hart's War,Hart's War,0,2002,125,"Drama,War",Drama,War,NA,6.4,57181,Hart's War,Hart's War,John Katzenbach,"Hart's War,John Katzenbach",Hart's War,"[""John Katzenbach""]",4.02,1674,NA,NA,NA,NA,NA,NA,NA,939,939,"Feb 15, 2002",Hart's War,70000000,19076815,33076815,901,1999,1999,3,-0.5274740714285714
"Hawaii,1966",1541,"Hawaii (1959), James A. Michener",Hawaii (1966),Hawaii,1966,"Hawaii,1966",tt0060491,Hawaii,Hawaii,0,1966,189,Drama,Drama,NA,NA,6.5,3978,Hawaii,Hawaii,James A. Michener,"Hawaii,James A. Michener",Hawaii,"[""James A. Michener""]",4.21,79009,NA,NA,NA,NA,NA,NA,NA,3556,3556,"Oct 10, 1966",Hawaii,15000000,34562222,34562222,3501,1959,1959,7,1.3041481333333333
"High Fidelity,2000",1577,"High Fidelity (1995), Nick Hornby",High Fidelity (2000),High Fidelity,2000,"High Fidelity,2000",tt0146882,High Fidelity,High Fidelity,0,2000,113,"Comedy,Drama,Music",Comedy,Drama,Music,7.4,196959,High Fidelity,High Fidelity,Nick Hornby,"High Fidelity,Nick Hornby",High Fidelity,"[""Nick Hornby""]",3.91,202992,NA,NA,NA,NA,NA,NA,NA,3017,3017,"Mar 31, 2000",High Fidelity,20000000,27277055,47881663,3001,1995,1995,5,1.39408315
"Hook,1991",2508,"Peter and Wendy (1911)[N 28], J. M. Barrie",Hook (1991),Hook,1991,"Hook,1991",tt0102057,Hook,Hook,0,1991,142,"Adventure,Comedy,Family",Adventure,Comedy,Family,6.8,285875,Hook,Peter and Wendy,"Peter and Wendy (1911)[N 28], J. M. Barrie","Peter and Wendy,Peter and Wendy (1911)[N 28], J. M. Barrie",NA,NA,3.98,7224,588,"$300,854,823","$119,654,823",39.8%,"$181,200,000",60.2%,1991,895,895,"Dec 11, 1991",Hook,70000000,119654823,300854823,801,1911,1911,80,3.2979260428571426
"How Green Was My Valley,1941",1646,"How Green Was My Valley (1939), Richard Llewellyn",How Green Was My Valley (1941),How Green Was My Valley,1941,"How Green Was My Valley,1941",tt0033729,How Green Was My Valley,How Green Was My Valley,0,1941,118,"Drama,Family",Drama,Family,NA,7.7,28401,How Green Was My Valley,How Green Was My Valley,Richard Llewellyn,"How Green Was My Valley,Richard Llewellyn",How Green Was My Valley,"[""Richard Llewellyn""]",4.2,17575,NA,NA,NA,NA,NA,NA,NA,6022,6022,"Oct 28, 1941",How Green Was My Valley,1250000,0,382,6001,1939,1939,2,-0.9996944
"Howards End,1992",1647,"Howards End (1910), E. M. Forster",Howards End (1992),Howards End,1992,"Howards End,1992",tt0104454,Howards End,Howards End,0,1992,142,"Drama,Romance",Drama,Romance,NA,7.4,37934,Howards End,Howards End,E. M. Forster,"Howards End,E. M. Forster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4534,4534,"Mar 13, 1992",Howards End,8000000,26124872,26354917,4501,1910,1910,82,2.294364625
"Hud,1963",1616,"Horseman, Pass By (1961), Larry McMurtry",Hud (1963),Hud,1963,"Hud,1963",tt0057163,Hud,Hud,0,1963,112,"Drama,Western",Drama,Western,NA,7.8,25414,Hud,"Horseman, Pass By",Larry McMurtry,"Horseman, Pass By,Larry McMurtry","Horseman, Pass By","[""Larry McMurtry""]",3.94,4739,NA,NA,NA,NA,NA,NA,NA,5643,5643,"May 29, 1963",Hud,2500000,10000000,10000000,5601,1961,1961,2,3
"I Know What You Did Last Summer,1997",1700,"I Know What You Did Last Summer (1973), Lois Duncan",I Know What You Did Last Summer (1997),I Know What You Did Last Summer,1997,"I Know What You Did Last Summer,1997",tt0119345,I Know What You Did Last Summer,I Know What You Did Last Summer,0,1997,101,"Horror,Mystery",Horror,Mystery,NA,5.8,175541,I Know What You Did Last Summer,I Know What You Did Last Summer,Lois Duncan,"I Know What You Did Last Summer,Lois Duncan",I Know What You Did Last Summer,"[""Lois Duncan""]",3.42,17079,NA,NA,NA,NA,NA,NA,NA,3357,3357,"Oct 17, 1997",I Know What You Did Last Summer,17000000,72250091,125250091,3301,1973,1973,24,6.3676524117647055
"I Love You, Beth Cooper,2009",1703,"I Love You, Beth Cooper (2007), Larry Doyle","I Love You, Beth Cooper (2009)","I Love You, Beth Cooper",2009,"I Love You, Beth Cooper,2009",tt1032815,"I Love You, Beth Cooper","I Love You, Beth Cooper",0,2009,102,"Adventure,Comedy,Family",Adventure,Comedy,Family,5.3,38900,"I Love You, Beth Cooper","I Love You, Beth Cooper",Larry Doyle,"I Love You, Beth Cooper,Larry Doyle","I Love You, Beth Cooper","[""Larry Doyle""]",3.29,7515,NA,NA,NA,NA,NA,NA,NA,3294,3294,"Jul 10, 2009","I Love You, Beth Cooper",18000000,14800725,16382538,3201,2007,2007,2,-0.089859
"I, Frankenstein,2014",1328,"Frankenstein (1818), Mary Shelley","I, Frankenstein (2014)","I, Frankenstein",2014,"I, Frankenstein,2014",tt1418377,"I, Frankenstein","I, Frankenstein",0,2014,92,"Action,Fantasy,Sci-Fi",Action,Fantasy,Sci-Fi,5.1,85497,"I, Frankenstein",Frankenstein,Mary Shelley,"Frankenstein,Mary Shelley",NA,NA,3.87,1619886,NA,NA,NA,NA,NA,NA,NA,1025,1025,"Jan 24, 2014","I, Frankenstein",65000000,19075290,74575290,1001,1818,1818,196,0.14731215384615384
"Identity,2003",165,"And Then There Were None (1939), Agatha Christie",Identity (2003),Identity,2003,"Identity,2003",tt0309698,Identity,Identity,0,2003,90,"Mystery,Thriller",Mystery,Thriller,NA,7.3,285291,Identity,And Then There Were None,Agatha Christie,"And Then There Were None,Agatha Christie",And Then There Were None,"[""Agatha Christie""]",4.28,1380887,NA,NA,NA,NA,NA,NA,NA,2432,2432,"Apr 25, 2003",Identity,28000000,52131264,82119036,2401,1939,1939,64,1.9328227142857144
