movie_match,...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,book_year_str,book_year,book_movie_years,ROI
"Rise of the Planet of the Apes,2011",2570,"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",Rise of the Planet of the Apes (2011),Rise of the Planet of the Apes,2011,"Rise of the Planet of the Apes,2011",tt1318514,Rise of the Planet of the Apes,Rise of the Planet of the Apes,0,2011,105,"Action,Drama,Sci-Fi",Action,Drama,Sci-Fi,7.6,598349,Rise of the Planet of the Apes,Planet of the Apes,Pierre Boulle,"Planet of the Apes,Pierre Boulle",Planet of the Apes,"[""Pierre Boulle""]",3.98,43239,283,"$481,800,873","$176,760,185",36.7%,"$305,040,688",63.3%,2011,576,576,"Aug 5, 2011",Rise of the Planet of the Apes,93000000,176760185,470986200,501,1963,1963,48,4.064367741935484
"Rosemary's Baby,1968",2793,"Rosemary's Baby (1967), Ira Levin",Rosemary's Baby (1968),Rosemary's Baby,1968,"Rosemary's Baby,1968",tt0063522,Rosemary's Baby,Rosemary's Baby,0,1968,137,"Drama,Horror",Drama,Horror,NA,8,252369,Rosemary's Baby,Rosemary's Baby,Ira Levin,"Rosemary's Baby,Ira Levin",NA,NA,4.04,142355,NA,NA,NA,NA,NA,NA,NA,5446,5446,"Jun 12, 1968",Rosemary's Baby,3200000,33395426,33397492,5401,1967,1967,1,9.43671625
"Sahara,2005",2808,"Sahara (1992), Clive Cussler",Sahara (2005),Sahara,2005,"Sahara,2005",tt0318649,Sahara,Sahara,0,2005,124,"Action,Adventure,Comedy",Action,Adventure,Comedy,6.1,107668,Sahara,Sahara,Clive Cussler,"Sahara,Clive Cussler",Sahara,"[""Clive Cussler""]",3.99,59207,NA,NA,NA,NA,NA,NA,NA,294,294,"Apr 8, 2005",Sahara,145000000,68671925,121645390,201,1992,1992,13,-0.16106627586206895
"Scarface,1983",2833,"Scarface (1930), Armitage Trail",Scarface (1983),Scarface,1983,"Scarface,1983",tt0086250,Scarface,Scarface,0,1983,170,"Crime,Drama",Crime,Drama,NA,8.3,988454,Scarface,Scarface,Armitage Trail,"Scarface,Armitage Trail",Scarface,"[""Armitage Trail""]",3.71,606,NA,NA,NA,NA,NA,NA,NA,2598,2598,"Dec 9, 1983",Scarface,25000000,45227398,65703398,2501,1930,1930,53,1.62813592
"Sense and Sensibility,1995",2879,"Sense and Sensibility (1811), Jane Austen",Sense and Sensibility (1995),Sense and Sensibility,1995,"Sense and Sensibility,1995",tt0114388,Sense and Sensibility,Sense and Sensibility,0,1995,136,"Drama,Romance",Drama,Romance,NA,7.7,133787,Sense and Sensibility,Sense and Sensibility,Jane Austen,"Sense and Sensibility,Jane Austen",Sense and Sensibility,"[""Jane Austen""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,3414,3414,"Dec 11, 1995",Sense and Sensibility,16500000,42993774,134993774,3401,1811,1811,184,7.181440848484849
"Shaft,2000",2892,"Shaft (1970), Ernest Tidyman",Shaft (2000),Shaft,2000,"Shaft,2000",tt0162650,Shaft,Shaft,0,2000,99,"Action,Crime,Thriller",Action,Crime,Thriller,6,84150,Shaft,Shaft,Ernest Tidyman,"Shaft,Ernest Tidyman",Shaft,"[""Ernest Tidyman""]",3.46,275,NA,NA,NA,NA,NA,NA,NA,1296,1296,"Jun 16, 2000",Shaft,53012938,70327868,107190108,1201,1970,1970,30,1.0219612804708165
"Shaft,2019",2893,"Shaft (1970), Ernest Tidyman",Shaft (2019),Shaft,2019,"Shaft,2019",tt4463894,Shaft,Shaft,0,2019,111,"Action,Comedy,Crime",Action,Comedy,Crime,6.4,61419,Shaft,Shaft,Ernest Tidyman,"Shaft,Ernest Tidyman",Shaft,"[""Ernest Tidyman""]",3.46,275,NA,NA,NA,NA,NA,NA,NA,2299,2299,"Jun 14, 2019",Shaft,30000000,21360215,21360215,2201,1970,1970,49,-0.2879928333333333
"Shalako,1968",2895,"Shalako (1962), Louis L'Amour",Shalako (1968),Shalako,1968,"Shalako,1968",tt0063592,Shalako,Shalako,0,1968,113,"Action,Drama,Western",Action,Drama,Western,5.6,3739,Shalako,Shalako,Louis L'Amour,"Shalako,Louis L'Amour",Shalako,"[""Louis L'Amour""]",4.05,3102,NA,NA,NA,NA,NA,NA,NA,5980,5980,1968,Shalako,1455000,2620000,2620000,5901,1962,1962,6,0.8006872852233677
"Shutter Island,2010",2927,"Shutter Island (2003), Dennis Lehane",Shutter Island (2010),Shutter Island,2010,"Shutter Island,2010",tt1130884,Shutter Island,Shutter Island,0,2010,138,"Drama,Mystery,Thriller",Drama,Mystery,Thriller,8.2,1587696,Shutter Island,Shutter Island,Dennis Lehane,"Shutter Island,Dennis Lehane",Shutter Island,"[""Dennis Lehane""]",4.12,197192,610,"$294,978,537","$128,012,934",43.4%,"$166,965,603",56.6%,2010,718,718,"Feb 19, 2010",Shutter Island,80000000,128012934,299461782,701,2003,2003,7,2.743272275
"Sideways,2004",2928,"Sideways (2004), Rex Pickett",Sideways (2004),Sideways,2004,"Sideways,2004",tt0375063,Sideways,Sideways,0,2004,127,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.5,213757,Sideways,Sideways,Rex Pickett,"Sideways,Rex Pickett",Sideways,"[""Rex Pickett""]",3.72,5994,NA,NA,NA,NA,NA,NA,NA,3359,3359,"Oct 22, 2004",Sideways,17000000,71502303,109726800,3301,2004,2004,0,5.4545176470588235
"Silver Bullet,1985",731,"Cycle of the Werewolf (1983), Stephen King",Silver Bullet (1985),Silver Bullet,1985,"Silver Bullet,1985",tt0090021,Silver Bullet,Silver Bullet,0,1985,95,Horror,Horror,NA,NA,6.4,34475,Silver Bullet,Cycle of the Werewolf,Stephen King,"Cycle of the Werewolf,Stephen King",Cycle of the Werewolf,"[""Stephen King""]",3.66,58450,NA,NA,NA,NA,NA,NA,NA,4699,4699,"Oct 11, 1985",Silver Bullet,7000000,10803211,10803211,4601,1983,1983,2,0.5433158571428571
"Solaris,2002",2955,"Solaris (1961), Stanislaw Lem",Solaris (2002),Solaris,2002,"Solaris,2002",tt0307479,Solaris,Solaris,0,2002,99,"Drama,Mystery,Romance",Drama,Mystery,Romance,6.2,88341,Solaris,Solaris,Stanislaw Lem,"Solaris,Stanislaw Lem",NA,NA,3.99,109892,NA,NA,NA,NA,NA,NA,NA,1505,1505,"Nov 27, 2002",Solaris,47000000,14970038,14970038,1501,1961,1961,41,-0.6814885531914894
"Somewhere in Time,1980",364,"Bid Time Return (1975), Richard Matheson",Somewhere in Time (1980),Somewhere in Time,1980,"Somewhere in Time,1980",tt0081534,Somewhere in Time,Somewhere in Time,0,1980,103,"Drama,Fantasy,Romance",Drama,Fantasy,Romance,7.2,35413,Somewhere in Time,Bid Time Return,Richard Matheson,"Bid Time Return,Richard Matheson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4977,4977,"Oct 3, 1980",Somewhere in Time,5100000,9709597,9709597,4901,1975,1975,5,0.9038425490196078
"Sorcerer,1977",3423,"The Wages of Fear (French: Le Salaire de la peur) (1950), Georges-Jean Arnaud",Sorcerer (1977),Sorcerer,1977,"Sorcerer,1977",tt0076740,Sorcerer,Sorcerer,0,1977,121,"Adventure,Drama,Thriller",Adventure,Drama,Thriller,7.7,33229,Sorcerer,The Wages of Fear,Georges-Jean Arnaud,"The Wages of Fear,Georges-Jean Arnaud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882,2882,"Jun 24, 1977",Sorcerer,21600000,12000000,12007773,2801,1950,1950,27,-0.44408458333333334
"Spartacus,1960",2981,"Spartacus (1951), Howard Fast",Spartacus (1960),Spartacus,1960,"Spartacus,1960",tt0054331,Spartacus,Spartacus,0,1960,197,"Adventure,Biography,Drama",Adventure,Biography,Drama,7.9,149729,Spartacus,Spartacus,Howard Fast,"Spartacus,Howard Fast",Spartacus,"[""Howard Fast""]",3.89,2016,NA,NA,NA,NA,NA,NA,NA,3934,3934,"Oct 7, 1960",Spartacus,12000000,30000000,59999883,3901,1951,1951,9,3.99999025
