"X1","X2"
"Less than Zero (1985), Bret Easton Ellis","Less than Zero (1987)"
"Let Me Count the Ways (1965), Peter De Vries","How Do I Love Thee? (1970)"
"Let the Right One In (Swedish: Låt den rätte komma in) (2004), John Ajvide Lindqvist","Let the Right One In (2008)"
"Let the Right One In (Swedish: Låt den rätte komma in) (2004), John Ajvide Lindqvist","Let Me In (2010)"
"A Letter to Five Wives (1945), John Klempner","A Letter to Three Wives (1949)"
"A Letter to Five Wives (1945), John Klempner","A Letter to Three Wives (1985)[N 4]"
"The Life and Opinions of Tristram Shandy, Gentleman (1759–1767), Laurence Sterne","A Cock and Bull Story (2006)"
"The Life Before Us (French: La vie devant soi) (1975), Romain Gary (as Émile Ajar)","Madame Rosa (1977)"
"The Life Before Us (French: La vie devant soi) (1975), Romain Gary (as Émile Ajar)","The Life Before Us (2010)[N 4]"
"The Life Before Us (French: La vie devant soi) (1975), Romain Gary (as Émile Ajar)","The Life Ahead (2020)"
"Life of Pi  (2001), Yann Martel","Life of Pi (2012)"
"Lift to the Scaffold (French: Ascenseur pour l'échafaud) (1956), Noël Calef","Elevator to the Gallows (1958)"
"The Light in the Forest (1953), Conrad Richter","The Light in the Forest (1958)"
"The Light of Western Stars (1914), Zane Grey","The Light of Western Stars (1918)"
"The Light of Western Stars (1914), Zane Grey","The Light of Western Stars (1925)"
"The Light of Western Stars (1914), Zane Grey","The Light of Western Stars (1930)"
"The Light of Western Stars (1914), Zane Grey","The Light of Western Stars (1940)"
"Like a Fire is Burning (1991), Gerald N. Lund","The Work and the Glory: American Zion (2005)"
"Like Water for Chocolate (Spanish: Como agua para chocolate) (1989), Laura Esquivel","Like Water for Chocolate (1992)"
"The Lincoln Lawyer (2005), Michael Connelly","The Lincoln Lawyer (2011)"
"A Lion Is in the Streets (1945), Adria Locke Langley","A Lion Is in the Streets (1953)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Two Times Lotte (1950)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Hibari's Lullaby (ひばりの子守唄, Hibari no komoriuta) (1951)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Twice Upon a Time (1953)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","The Parent Trap (1961)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Kuzhandaiyum Deivamum (1965)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Leta Manasulu (1966)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Do Kaliyaan (1968)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Cheeky Little Angels (Korean: 개구장이 천사들, Gaegujangi Cheonsadeul) (1980)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Pyaar Ke Do Pal (1986)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","The Parent Trap II (1987)[N 4]"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Parent Trap III (1988)[N 4]"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Parent Trap: Hawaiian Honeymoon (1989)[N 4]"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Charlie & Louise – Das doppelte Lottchen (1994)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Dvynukės (1994)[N 4]"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Strange Sisters (خواهران غریب) (1995)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","The Parent Trap (1998)[N 7]"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Kuch Khatti Kuch Meethi (2001)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Tur & retur (2003)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Two Times Lotte (2007)"
"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner","Das doppelte Lottchen (2017)[N 4]"
"Little Caesar (1929), W. R. Burnett","Little Caesar (1931)"
"Little Caesar (1929), W. R. Burnett","Black Caesar (1973)"
"Little Caesar (1929), W. R. Burnett","Hell Up in Harlem (1973)"
"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens","Little Dorrit (1913)"
"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens","Little Dorrit (1920)"
"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens","Little Dorrit (German: Klein Dorrit) (1934)"
"Little Dorrit (serialised 1855–1857, published as a book 1857), Charles Dickens","Little Dorrit (1987)"
"The Little Drummer Girl (1983), John le Carré","The Little Drummer Girl (1984)"
"The Little White Horse (1946), Elizabeth Goudge","The Secret of Moonacre (2009)"
"Live and Let Die (1954), Ian Fleming","Live and Let Die (1973)"
"Live Flesh (1986), Ruth Rendell","Live Flesh (Spanish: Carne trémula) (1997)"
"The Living and the Dead (French: D'entre les morts) (1954), Pierre Boileau and Thomas Narcejac","Vertigo (1958)"
"The Lizard's Tail (1979), Marc Brandell","The Hand (1981)"
"Loaded (1995), Christos Tsiolkas","Head On (1998)"
"Logan's Run (1967), William F. Nolan and George Clayton Johnson","Logan's Run (1976)"
"Lolita (1955), Vladimir Nabokov","Lolita (1962)"
"Lolita (1955), Vladimir Nabokov","Lolita (1997)"
"The Lone Star Ranger (1915), Zane Grey","The Lone Star Ranger (1919)"
"The Lone Star Ranger (1915), Zane Grey","The Lone Star Ranger (1923)"
"The Lone Star Ranger (1915), Zane Grey","The Lone Star Ranger (1930)"
"The Lone Star Ranger (1915), Zane Grey","Lone Star Ranger (1942)"
"Lonely Castle in the Mirror (かがみの孤城, Kagami no Kojō) (2017), Mizuki Tsujimura","Lonely Castle in the Mirror (2022)"
"The Long Goodbye (1953), Raymond Chandler","The Long Goodbye (1973)"
"Longarm (1978–2006) (series), Lou Cameron[N 8]","Longarm (1987)[N 4]"
"Looking for Trouble (1941), Virginia Spencer Cowles","Ladies Courageous (1944)"
"The Looters (1968), John H. Reese","Charley Varrick (1973)"
"Lord Jim (serialised 1899–1900, published as a book 1900), Joseph Conrad","Lord Jim (1925)"
"Lord Jim (serialised 1899–1900, published as a book 1900), Joseph Conrad","Lord Jim (1965)"
"Lord of the Flies (1954), William Golding","Lord of the Flies (1963)"
"Lord of the Flies (1954), William Golding","Alkitrang dugo (1976)"
"Lord of the Flies (1954), William Golding","Lord of the Flies (1990)"
"The Lord of the Rings (1954–1955)[N 9], J. R. R. Tolkien","J. R. R. Tolkien's The Lord of the Rings (1978)"
"The Lord of the Rings (1954–1955)[N 9], J. R. R. Tolkien","The Return of the King (1980)[N 4]"
"The Lord of the Rings (1954–1955)[N 9], J. R. R. Tolkien","The Lord of the Rings: The Fellowship of the Ring (2001)"
"The Lord of the Rings (1954–1955)[N 9], J. R. R. Tolkien","The Lord of the Rings: The Two Towers (2002)"
"The Lord of the Rings (1954–1955)[N 9], J. R. R. Tolkien","The Lord of the Rings: The Return of the King (2003)"
"The Lords of Discipline (1980), Pat Conroy","The Lords of Discipline (1983)"
"Lost Horizon (1933), James Hilton","Lost Horizon (1937)"
"Lost Horizon (1933), James Hilton","Lost Horizon (1973)"
"The Lost Ones (1961), Donald G. Payne","The Island at the Top of the World (1974)"
"A Lost Paradise (失楽園, Shitsurakuen) (1997), Junichi Watanabe","Lost Paradise (1997)"
"The Lost World (1912), Arthur Conan Doyle","The Lost World (1925)"
"The Lost World (1912), Arthur Conan Doyle","The Lost World (1960)"
"The Lost World (1912), Arthur Conan Doyle","The Lost World (1992)"
"The Lost World (1912), Arthur Conan Doyle","Return to the Lost World (1992)"
"The Lost World (1912), Arthur Conan Doyle","The Lost World (1998)"
"The Lost World (1912), Arthur Conan Doyle","The Lost World (2001)[N 4]"
"The Lost World (1912), Arthur Conan Doyle","King of the Lost World (2005)"
"The Lost World (1995), Michael Crichton","The Lost World: Jurassic Park (1997)"
"A Love in Germany (German: Eine Liebe in Deutschland) (1978), Rolf Hochhuth","A Love in Germany (1983)"
"Love Story (1970), Erich Segal","Love Story (1970)"
"The Loved One (1948), Evelyn Waugh","The Loved One (1965)"
"The Lovely Bones (2002), Alice Sebold","The Lovely Bones (2009)"
"The Luck of Barry Lyndon (1844), William Makepeace Thackeray","Barry Lyndon (1975)"
"The Lucky One (2008), Nicholas Sparks","The Lucky One (2012)"
"Lydia Bailey (1947), Kenneth Roberts","Lydia Bailey (1952)"
"MacKenna's Gold (1963), Henry Wilson Allen[N 10]","Mackenna's Gold (1969)"
"Madame Doubtfire (1987), Anne Fine","Mrs. Doubtfire (1994)"
"The Maddening (1987), Andrew Neiderman","The Maddening (1995)"
"The Magician (1908), W. Somerset Maugham","The Magician (1926)"
"Magnificent Obsession (1929), Lloyd C. Douglas","Magnificent Obsession (1935)"
"Magnificent Obsession (1929), Lloyd C. Douglas","Magnificent Obsession (1954)"
"Make Room! Make Room! (1966), Harry Harrison","Soylent Green (1973)"
"The Maltese Falcon (1930), Dashiell Hammett","The Maltese Falcon (1931)"
"The Maltese Falcon (1930), Dashiell Hammett","Satan Met a Lady (1936)"
"The Maltese Falcon (1930), Dashiell Hammett","The Maltese Falcon (1941)"
"The Maltese Falcon (1930), Dashiell Hammett","The Black Bird (1975)"
"The Man Called Noon (1970), Louis L'Amour","The Man Called Noon (1973)"
"The Man in Black (1964), Marvin H. Albert","Rough Night in Jericho (1967)"
"The Man in the Gray Flannel Suit (1955), Sloan Wilson","The Man in the Gray Flannel Suit (1956)"
"The Man of Property (1906), John Galsworthy","That Forsyte Woman (1949)"
"Man on Fire (1980), A. J. Quinnell","Man on Fire (1987)"
"Man on Fire (1980), A. J. Quinnell","Man on Fire (2004)"
"The Man Who Fell to Earth (1963), Walter Tevis","The Man Who Fell to Earth (1976)"
"The Man Who Fell to Earth (1963), Walter Tevis","The Man Who Fell to Earth (1987)[N 4]"
"The Man Who Never Was (1954), Ewen Montagu","The Man Who Never Was (1956)"
"The Man Who Watched the Trains Go By (1938), Georges Simenon","The Man Who Watched Trains Go By (1952)"
"The Man with the Golden Gun (1965), Ian Fleming","The Man with the Golden Gun (1974)"
"The Man Without a Face (1972), Isabelle Holland","The Man Without a Face (1993)"
"Man Without a Star (1952), Lee Dinford","Man Without a Star (1956)"
"Man Without a Star (1952), Lee Dinford","A Man Called Gannon (1968)"
"The Manchurian Candidate (1959), Richard Condon","The Manchurian Candidate (1962)"
"The Manchurian Candidate (1959), Richard Condon","The Manchurian Candidate (2004)"
"Manhunt (人狩り) (1962), Haruhiko Oyabu","Youth of the Beast (野獣の青春, Yajū no seishun) (1963)"
"Marathon Man (1974), William Goldman","Marathon Man (1976)"
"Marnie (1961), Winston Graham","Marnie (1964)"
"Martin Eden (1909), Jack London","Martin Eden (1914)"
"Martin Eden (1909), Jack London","The Adventures of Martin Eden (1942)"
"Martin Eden (1909), Jack London","Martin Eden (2019)"
"Mary Poppins (1934–1988) (series), P. L. Travers","Mary Poppins (1964)"
"Mary Poppins (1934–1988) (series), P. L. Travers","Mary Poppins Returns (2018)"
"MASH: A Novel About Three Army Doctors (1968), Richard Hooker","M*A*S*H (1970)"
"Master of the World (French: Maître du monde) (1904), Jules Verne","Master of the World (1961)"
"Master of the World (French: Maître du monde) (1904), Jules Verne","Master of the World (1976)[N 4]"
"Matilda (1970), Paul Gallico","Matilda (1978)"
"Maurice (1971), E. M. Forster","Maurice (1987)"
"The Mayor of Casterbridge (1886), Thomas Hardy","The Mayor of Casterbridge (1921)"
"The Mayor of Casterbridge (1886), Thomas Hardy","The Mayor of Casterbridge (2003)[N 4]"
"The Mayor of Casterbridge (1886), Thomas Hardy","The Claim (2000)"
"McTeague (1899), Frank Norris","McTeague (1916)"
"McTeague (1899), Frank Norris","Greed (1924)"
"Me and Earl and the Dying Girl (2012), Jesse Andrews","Me and Earl and the Dying Girl (2015)[1]"
"The Medusa Touch (1973), Peter Van Greenaway","The Medusa Touch (1978)"
"Meet Me in St. Louis (1942)[N 11], Sally Benson","Meet Me in St. Louis (1944)"
"Memoirs of an Invisible Man (1987), H.F. Saint","Memoirs of an Invisible Man (1992)"
"The Memoirs of Cleopatra (1997), Margaret George","Cleopatra (1999)"
"Memory (2010), Donald E. Westlake","The Actor (TBA)[2]"
"The Mephisto Waltz (1969), Fred Mustard Stewart","The Mephisto Waltz (1971)"
"Mercy Island (1941), Theodore Pratt","Mercy Island (1941)"
"Merton of the Movies (1919), Harry Leon Wilson","Merton of the Movies (1924)"
"Merton of the Movies (1919), Harry Leon Wilson","Make Me a Star (1932)"
"Merton of the Movies (1919), Harry Leon Wilson","Merton of the Movies (1947)"
"Message in a Bottle (1998), Nicholas Sparks","Message in a Bottle (1999)"
"Miami Mayhem (1960), Marvin H. Albert","Tony Rome (1967)"
"Midaq Alley (Arabic: زقاق المدق, romanized: Zuqāq al-Midaqq) (1947), Naguib Mahfouz","Midaq Alley (Spanish: El callejón de los milagros) (1995)"
"Midnight and Jeremiah (1943), Sterling North","So Dear to My Heart (1949)"
"A Midnight Clear (1982), William Wharton","A Midnight Clear (1992)"
"The Midwich Cuckoos (1957), John Wyndham","Village of the Damned (1960)"
"The Midwich Cuckoos (1957), John Wyndham","Children of the Damned (1963)"
"The Midwich Cuckoos (1957), John Wyndham","Village of the Damned (1995)"
"Mildred Pierce (1941), James M. Cain","Mildred Pierce (1945)"
"Millennium (1983), John Varley","Millennium (1989)"
"Millennium (2005–2007) (series)[N 12], Stieg Larsson","The Girl with the Dragon Tattoo (2009)"
"Millennium (2005–2007) (series)[N 12], Stieg Larsson","The Girl Who Played with Fire (2009)"
"Millennium (2005–2007) (series)[N 12], Stieg Larsson","The Girl Who Kicked the Hornets' Nest (2009)"
"Millennium (2005–2007) (series)[N 12], Stieg Larsson","The Girl with the Dragon Tattoo (2011)"
"Mine-Haha, or On the Bodily Education of Young Girls (1903), Frank Wedekind","Innocence (2004)"
"Mine-Haha, or On the Bodily Education of Young Girls (1903), Frank Wedekind","The Fine Art of Love: Mine Ha-Ha (2005)"
"The Mirage (Arabic: السراب, romanized: Al-Sarab) (1961), Naguib Mahfouz","The Mirage (1970)"
"The Mirror Crack'd from Side to Side (1962), Agatha Christie","The Mirror Crack'd (1980)"
"The Mirror Crack'd from Side to Side (1962), Agatha Christie","Shubho Mahurat (Bengali: শুভ মহরৎ) (2003)"
"Les Misérables (1862), Victor Hugo","On the Barricade (1907)"
"Les Misérables (1862), Victor Hugo","Le Chemineau (1907)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1909)"
"Les Misérables (1862), Victor Hugo","The Bishop's Candlesticks (1909)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1911)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1913)"
"Les Misérables (1862), Victor Hugo","The Bishop's Candlesticks (1913)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1917)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1922)"
"Les Misérables (1862), Victor Hugo","Aa Mujou (1923)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1925)"
"Les Misérables (1862), Victor Hugo","The Bishop's Candlesticks (1929)"
"Les Misérables (1862), Victor Hugo","Aa Mujou (1929)"
"Les Misérables (1862), Victor Hugo","Jean Valjean (1931)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1934)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1935)"
"Les Misérables (1862), Victor Hugo","Gavrosh (1937)"
"Les Misérables (1862), Victor Hugo","Kyojinden (1938)"
"Les Misérables (1862), Victor Hugo","Los Miserables (1943)"
"Les Misérables (1862), Victor Hugo","El Boassa (1944)"
"Les Misérables (1862), Victor Hugo","I Miserabili (1948)[N 13]"
"Les Misérables (1862), Victor Hugo","Les Nouveaux Misérables (1949)"
"Les Misérables (1862), Victor Hugo","Re mizeraburu: Kami to Akuma (Les Misérables: Gods and Demons) (1950)"
"Les Misérables (1862), Victor Hugo","Ezhai Padum Padu (1950)"
"Les Misérables (1862), Victor Hugo","Beedala Patlu (1950)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1952)"
"Les Misérables (1862), Victor Hugo","Kundan (1955)"
"Les Misérables (1862), Victor Hugo","Duppathage Duka (1956)"
"Les Misérables (1862), Victor Hugo","Sirakaruwa (1957)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1958)"
"Les Misérables (1862), Victor Hugo","Os Miseráveis (1958)"
"Les Misérables (1862), Victor Hugo","Jean Valjean (1961)[N 4]"
"Les Misérables (1862), Victor Hugo","Cosette (1961)[N 4]"
"Les Misérables (1862), Victor Hugo","Gavroche (1962)[N 4]"
"Les Misérables (1862), Victor Hugo","Jean Valjean (1963)[N 4]"
"Les Misérables (1862), Victor Hugo","Os Miseráveis (1967)"
"Les Misérables (1862), Victor Hugo","Sefiller (1967)"
"Les Misérables (1862), Victor Hugo","Los Miserables (1973)[N 4]"
"Les Misérables (1862), Victor Hugo","Les Misérables (1978)[N 4]"
"Les Misérables (1862), Victor Hugo","Al Boasa (1978)"
"Les Misérables (1862), Victor Hugo","Jean Valjean Monogatari (ジャン・バルジャン物語) (1979)[N 4]"
"Les Misérables (1862), Victor Hugo","Les Misérables (1982)[N 4][N 14]"
"Les Misérables (1862), Victor Hugo","Les Misérables (1988)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1995)"
"Les Misérables (1862), Victor Hugo","Les Misérables: The Dream Cast in Concert (1995)"
"Les Misérables (1862), Victor Hugo","Les Misérables (1998)"
"Les Misérables (1862), Victor Hugo","Les Misérables in Concert: The 25th Anniversary (2010)"
"Les Misérables (1862), Victor Hugo","Les Misérables (2011)[N 4]"
"Les Misérables (1862), Victor Hugo","Les Misérables (2012)"
"Les Misérables (1862), Victor Hugo","Les Misérables (2019)"
"Misery (1987), Stephen King","Misery (1990)"
"Miss Lonelyhearts (1933), Nathanael West","Advice to the Lovelorn (1933)"
"Miss Lonelyhearts (1933), Nathanael West","Lonelyhearts (1958)"
"Miss Lonelyhearts (1933), Nathanael West","Miss Lonelyhearts (1983)[N 4]"
"Moby-Dick (1851), Herman Melville","The Sea Beast (1926)"
"Moby-Dick (1851), Herman Melville","Moby Dick (1930)"
"Moby-Dick (1851), Herman Melville","Moby Dick (1956)"
"Moby-Dick (1851), Herman Melville","Moby Dick (1978)"
"Moby-Dick (1851), Herman Melville","The Adventures of Young Moby Dick (1996)[N 4]"
"Moby-Dick (1851), Herman Melville","Capitaine Achab (2004)"
"Moby-Dick (1851), Herman Melville","Moby Dick (2010)"
"Moby-Dick (1851), Herman Melville","Moby Dick (2011)"
"Moby-Dick (1851), Herman Melville","Age of the Dragons (2011)"
"Moderato Cantabile (1958), Marguerite Duras","Seven Days... Seven Nights (1960)"
"The Molly Maguires (1969), Arthur H. Lewis","The Molly Maguires (1970)"
"Monkey in the Middle (1973), Robert Syd Hopkins[N 15]","The Killer Elite (1975)"
"The Monster from Earth's End (1959), Murray Leinster","The Navy vs. the Night Monsters (1966)"
"Montana Rides Again (1934), Max Brand","Branded (1950)"
"The Moon and Sixpence (1919), W. Somerset Maugham","The Moon and Sixpence (1942)"
"Moonraker (1955), Ian Fleming","Moonraker (1979)"
"The Moon-Spinners (1962), Mary Stewart","The Moon-Spinners (1964)"
"The Moonstone (1868), Wilkie Collins","The Moonstone (1909)"
"The Moonstone (1868), Wilkie Collins","The Moonstone (1915)"
"The Moonstone (1868), Wilkie Collins","The Moonstone (1934)"
"The Moonstone (1868), Wilkie Collins","The Moonstone (1996)[N 4]"
"Morpho Eugenia (1992), A. S. Byatt","Angels & Insects (1996)"
"The Mortal Instruments – Book One: City of Bones (2007), Cassandra Clare","The Mortal Instruments: City of Bones (2013)"
"The Mosquito Coast (1981), Paul Theroux","The Mosquito Coast (1986)"
"Mother Carey's Chickens (1911), Kate Douglas Wiggin","Mother Carey's Chickens (1938)"
"Mother Carey's Chickens (1911), Kate Douglas Wiggin","Summer Magic (1963)"
"Mother Night (1961), Kurt Vonnegut","Mother Night (1996)"
"Mother of Mine (Finnish: Äideistä parhain) (1999), Heikki Hietamies","Mother of Mine (Finnish: Äideistä parhain, Swedish: Den bästa av mödrar) (2005)"
"A Mother's Gift (2001), Britney Spears and Lynne Spears","Brave New Girl (2004)[N 4]"
"The Moving Target (1949), Ross Macdonald[N 16]","Harper (1966)"
"Mr. Hobbs' Vacation (1954), Edward Streeter","Mr. Hobbs Takes a Vacation (1962)"
"Mr. Limpet (1942), Theodore Pratt","The Incredible Mr. Limpet (1964)"
"Mr. Winkle Goes to War (1943), Theodore Pratt","Mr. Winkle Goes to War (1944)"
"Mrs. Frisby and the Rats of NIMH (1971), Robert C. O'Brien","The Secret of NIMH (1982)"
"Mrs. Frisby and the Rats of NIMH (1971), Robert C. O'Brien","The Secret of NIMH 2: Timmy to the Rescue (1999)"
"Mrs McGinty's Dead (1952), Agatha Christie","Murder Most Foul (1964)"
"Mud on the Stars (1942), William Bradford Huie","Wild River (1960)"
"A Mule for the Marquesa (1964), Frank O'Rourke","The Professionals (1966)"
"Murder in Amityville (1979), Hans Holzer","Amityville II: The Possession (1982)"
"Murder on the Orient Express (1934), Agatha Christie","Murder on the Orient Express (1974)"
"Murder on the Orient Express (1934), Agatha Christie","Murder on the Orient Express (2001)[N 4]"
"Murder on the Orient Express (1934), Agatha Christie","Murder on the Orient Express (2017)"
"Murphy's Romance: A Novel (1980), Max Schott","Murphy's Romance (1985)"
"Mute Witness (1963), Robert L. Pike (as Robert L. Fish)","Bullitt (1968)"
"My Ántonia (1918), Willa Cather","My Antonia (1995)[N 4]"
"My Brother's Wife (Spanish: La mujer de mi hermano) (2002), Jaime Bayly","My Brother's Wife (2005)"
"My Philadelphia Father (1955), Anthony Joseph Drexel Biddle, Sr.[N 17]","The Happiest Millionaire (1967)"
"My Friend Flicka (1941), Mary O'Hara","My Friend Flicka (1943)"
"My Friend Flicka (1941), Mary O'Hara","Thunderhead, Son of Flicka (1945)"
"My Friend Flicka (1941), Mary O'Hara","Green Grass of Wyoming (1948)"
"My Friend Flicka (1941), Mary O'Hara","Flicka (2006)"
"My Friend Flicka (1941), Mary O'Hara","Flicka 2 (2010)[N 18]"
"My Friend Flicka (1941), Mary O'Hara","Flicka: Country Pride (2012)[N 18]"
"My Kingdom for a Woman (1952), Ismet Regeila","Abdulla the Great (1955)"
"My Reminiscences as a Cowboy (1930), Frank Harris","Cowboy (1968)"
"The Mystery of Edwin Drood (1870)[N 19], Charles Dickens","The Mystery of Edwin Drood (1909)"
"The Mystery of Edwin Drood (1870)[N 19], Charles Dickens","The Mystery of Edwin Drood (1914)"
"The Mystery of Edwin Drood (1870)[N 19], Charles Dickens","The Mystery of Edwin Drood (1935)"
"The Mystery of Edwin Drood (1870)[N 19], Charles Dickens","The Mystery of Edwin Drood (1993)"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","The Mysterious Island (1929)"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","Mysterious Island (1941)"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","Mysterious Island (1951)[N 6]"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","Mysterious Island (1961)"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","The Mysterious Island of Captain Neno (French: L'Île mystérieuse, Spanish: La isla misteriosa y el capitán Nemo) (1973)"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","Mysterious Island (1982)"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","Mysterious Island (2005)"
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne","Journey 2: The Mysterious Island (2012)"
"Mystic River (2001), Dennis Lehane","Mystic River (2003)"
"The Naked and the Dead (1948), Norman Mailer","The Naked and the Dead (1958)"
"The Naked Country (1960), Morris West[N 20]","The Naked Country (1985)"
"The Naked Face (1970), Sidney Sheldon","The Naked Face (1984)"
"Naked Lunch (1959), William S. Burroughs","Naked Lunch (1991)"
"The Name of the Game is Kidnapping (ゲームの名は誘拐, Gēmu no Na wa Yūkai) (2002), Keigo Higashino","G@me (2003)"
"The Name of the Rose (1980), Umberto Eco","The Name of the Rose (1986)"
"The Nanny (1987), Dan Greenburg","The Guardian (1990)"
"The Nanny Diaries (2002), Emma McLaughlin and Nicola Kraus","The Nanny Diaries (2007)"
"National Velvet (1935), Enid Bagnold","National Velvet (1944)"
"National Velvet (1935), Enid Bagnold","International Velvet (1978)"
"The Natural (1952), Bernard Malamud","The Natural (1984)"
"Nest in a Fallen Tree (1967), Joy Cowley","The Night Digger (1971)"
"The Net (1912), Rex Beach","Fair Lady (1922)"
"Nevada (1928), Zane Grey","Nevada (1927)"
"Nevada (1928), Zane Grey","Nevada (1935)"
"Nevada (1928), Zane Grey","Nevada (1944)"
"Never Cry Wolf (1963), Farley Mowat","Never Cry Wolf (1983)"
"The Neverending Story (1979), Michael Ende","The NeverEnding Story (1984)"
"The Neverending Story (1979), Michael Ende","The NeverEnding Story II: The Next Chapter (1990)"
"The Neverending Story (1979), Michael Ende","The NeverEnding Story III (1994)"
"News of the World (2016), Paulette Jiles","News of the World (2020)"
"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens","The Life and Adventures of Nicholas Nickleby (1947)"
"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens","Nicholas Nickleby (1985)[N 4]"
"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens","The Life and Adventures of Nicholas Nickleby (2001)"
"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens","Nicholas Nickleby (2002)"
"Night and the City (1938), Gerald Kersh","Night and the City (1950)"
"Night and the City (1938), Gerald Kersh","Night and the City (1992)"
"Night Has a Thousand Eyes (1945), Cornell Woolrich[N 21]","Night Has a Thousand Eyes (1948)"
"The Night of the Generals (1963), Hans Hellmut Kirst","The Night of the Generals (1967)"
"The Night of the Hunter (1953), Davis Grubb","The Night of the Hunter (1955)"
"The Night of the Hunter (1953), Davis Grubb","Night of the Hunter (1991)[N 4]"
"Night Shift (1942), Maritta Wolff","The Man I Love (1947)"
"Night Watch (Russian: «Ночной Дозор») (1998), Sergey Lukyanenko","Night Watch (2004)"
"Night Watch (Russian: «Ночной Дозор») (1998), Sergey Lukyanenko","Day Watch (2006)[N 22]"
"Nightmare (1942) (a.k.a. And So to Death), Cornell Woolrich[N 23]","Fear in the Night (1947)"
"Nightmare (1942) (a.k.a. And So to Death), Cornell Woolrich[N 23]","Nightmare (1956)"
"Nightmare Alley (1946), William Lindsay Gresham","Nightmare Alley (1947)"
"Nightmare Alley (1946), William Lindsay Gresham","Nightmare Alley (2021)"
"Nights in Rodanthe (2002), Nicholas Sparks","Nights in Rodanthe (2008)"
"Nightwing (1977), Martin Cruz Smith","Nightwing (1979)"
"Nine and a Half Weeks: A Memoir of a Love Affair (1978), Elizabeth McNeill","9½ Weeks (1986)"
"Nine and a Half Weeks: A Memoir of a Love Affair (1978), Elizabeth McNeill","Another 9½ Weeks (1997)"
"Nine and a Half Weeks: A Memoir of a Love Affair (1978), Elizabeth McNeill","The First 9½ Weeks (1998)"
"Nineteen Eighty-Four (1949), George Orwell","Nineteen Eighty-Four (1954)[N 4]"
"Nineteen Eighty-Four (1949), George Orwell","1984 (1956)"
"Nineteen Eighty-Four (1949), George Orwell","Nineteen Eighty-Four (1984)"
"Nineteen Eighty-Four (1949), George Orwell","1984 (2023)[3]"
"The Ninth Configuration (1978), William Peter Blatty","The Ninth Configuration (1980)"
"No Country for Old Men (2005), Cormac McCarthy","No Country for Old Men (2007)"
