"X1","X2"
"All You Need Is Kill (2009), Hiroshi Sakurazaka","Edge of Tomorrow (2014)"
"Almayer's Folly (1895), Joseph Conrad","Hanyut (2011)"
"Almayer's Folly (1895), Joseph Conrad","Almayer's Folly (2011)"
"Almost Transparent Blue (限りなく透明に近いブルー, Kagirinaku Tōmei ni Chikai Burū) (1976), Ryū Murakami","Almost Transparent Blue (1979)"
"Along Came a Spider (1993), James Patterson","Along Came a Spider (2001)"
"Altered States (1978), Paddy Chayefsky","Altered States (1980)"
"Always Another Dawn (1948), Zelma Roberts","Always Another Dawn (1948)"
"Always Outnumbered, Always Outgunned (1987), Walter Mosley","Always Outnumbered (1998)[N 1]"
"The Alzheimer Case (Dutch: De zaak Alzheimer) (2000), Jef Geeraerts","The Alzheimer Case (2003)"
"The Alzheimer Case (Dutch: De zaak Alzheimer) (2000), Jef Geeraerts","Memory (2022)"
"The Amateur (Spanish: El Amateur) (1990), Mauricio Dayub","The Amateur (Spanish: El Amateur) (1999)"
"An American Dream (1965), Norman Mailer","An American Dream (1966)"
"American Knees (1995), Shawn Wong","Americanese (2006)"
"American Psycho (1991), Bret Easton Ellis","American Psycho (2000)"
"American Psycho (1991), Bret Easton Ellis","American Psycho 2: All-American Girl (2002)[N 4]"
"American Splendor (1976–2008), Harvey Pekar","American Splendor (2003)"
"An American Tragedy (1925), Theodore Dreiser","A Place in the Sun (1951)"
"The Americanization of Emily (1959), William Bradford Huie","The Americanization of Emily (1964)"
"Amerika (1927), Franz Kafka","Klassenverhältnisse (Class Relations) (1984)"
"Amerika (1927), Franz Kafka","Intervista (1987)"
"Amerika (1927), Franz Kafka","Amerika (1994)"
"Les amitiés particulières (This Special Friendship) (1943), Roger Peyrefitte","Les amitiés particulières (1964)"
"The Amityville Horror (1977), Jay Anson","The Amityville Horror (1979)"
"The Amityville Horror (1977), Jay Anson","The Amityville Horror (2005)"
"Amos Judd (1895), John Ames Mitchell","The Young Rajah (1922)"
"Amu (2005), Shonali Bose","Amu (2005)"
"Anatomy of a Murder (1958), John D. Voelker[N 5]","Anatomy of a Murder (1959)"
"An Ancient Tale: A Novel in Polish History (Polish: Stara baśń. Powieść z dziejów Polski) (1876), Józef Ignacy Kraszewski","An Ancient Tale: When the Sun Was a God (Polish: Stara baśń: Kiedy słońce było bogiem) (2003)"
"And Now Tomorrow (1942), Rachel Field","And Now Tomorrow (1944)"
"And Then There Were None (1939), Agatha Christie","And Then There Were None (1945)"
"And Then There Were None (1939), Agatha Christie","Ten Little Indians (1959)[N 1]"
"And Then There Were None (1939), Agatha Christie","Gumnaam (1965)"
"And Then There Were None (1939), Agatha Christie","Ten Little Indians (1965)"
"And Then There Were None (1939), Agatha Christie","Zehn kleine Negerlein (1969)[N 1]"
"And Then There Were None (1939), Agatha Christie","And Then There Were None (1974)"
"And Then There Were None (1939), Agatha Christie","Desyat Negrityat (1987)"
"And Then There Were None (1939), Agatha Christie","Ten Little Indians (1989)"
"And Then There Were None (1939), Agatha Christie","Identity (2003)"
"The Anderson Tapes (1969), Lawrence Sanders","The Anderson Tapes (1971)"
"Andromeda: A Space-Age Tale (1957), Ivan Yefremov","The Andromeda Nebula (1967)"
"The Andromeda Strain (1969), Michael Crichton","The Andromeda Strain (1971)"
"Angel (1957), Elizabeth Taylor","Angel (2007)"
"Angel Square (1987), Brian Doyle","Angel Square (1990)"
"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Angélique, Marquise des Anges (1964)"
"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Marvelous Angelique (1965)"
"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Angelique and the King (1966)"
"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Untamable Angelique (1967)"
"Angélique (1957–2012) (series), Anne Golon and Serge Golon","Angelique and the Sultan (1968)"
"Angels & Demons (2000), Dan Brown","Angels & Demons (2009)"
"Anglo-Saxon Attitudes (1956), Angus Wilson","Anglo-Saxon Attitudes (1992)"
"The Angry Hills (1955), Leon Uris","The Angry Hills (1959)"
"Anime Supremacy! (ハケンアニメ!, Haken Anime!) (2014), Mizuki Tsujimura","Anime Supremacy! (2022)"
"Anna and the King of Siam (1944), Margaret Landon","Anna and the King of Siam (1946)"
"Anna and the King of Siam (1944), Margaret Landon","The King and I (1956)"
"Anna and the King of Siam (1944), Margaret Landon","The King and I (1999)"
"Anna and the King of Siam (1944), Margaret Landon","Anna and the King (1999)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1914)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1915)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Love (1927)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1935)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1948)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","The River of Love (Arabic: نهر الحب, romanized: Nahr al-Ḥub) (1960)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1967)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1974)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1985)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (1997)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (2005)"
"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy","Anna Karenina (2012)"
"Anna to the Infinite Power (1979), Mildred Ames","Anna to the Infinite Power (1983)"
"Anne of Avonlea (1909), Lucy Maud Montgomery","same as below"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Green Gables (1919)"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Green Gables (1934)"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Windy Poplars (1940)"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Green Gables (1956)[N 1]"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Green Gables (1985)[N 1]"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Avonlea (1987)[N 1]"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Green Gables: The Continuing Story (2000)[N 1]"
"Anne of Green Gables (1908), Lucy Maud Montgomery","Anne of Green Gables: A New Beginning (2009)[N 1]"
"Anne of Windy Poplars (1936), Lucy Maud Montgomery","same as above"
"Annihilation (2014), Jeff VanderMeer","Annihilation (2018)"
"The Anointed (1937), Clyde Brion Davis","Adventure (1945)"
"Another (アナザー, Anazā) (2009), Yukito Ayatsuji","Another (2012)"
"Anthony Adverse (1933), Hervey Allen","Anthony Adverse (1936)"
"Antikiller (French: Антикиллер) (1999), Daniil Koretsky","Antikiller (2002)"
"Antonieta (1978), Andrés Henestrosa","Antonieta (1982)"
"Apache Rising (1957), Marvin H. Albert","Duel at Diablo (1966)"
"The Apocalypse Watch (1995), Robert Ludlum","The Apocalypse Watch (1997)[N 1]"
"The Apple Dumpling Gang (1971), Jack Bickham","The Apple Dumpling Gang (1975)"
"The Apple Dumpling Gang (1971), Jack Bickham","The Apple Dumpling Gang Rides Again (1979)"
"The Apple Dumpling Gang (1971), Jack Bickham","Tales from the Apple Dumpling Gang (1982)[N 1]"
"Appointment with Death (1938), Agatha Christie","Appointment with Death (1988)"
"Appointment with Venus (1951), Jerrard Tickell","Appointment with Venus (1951)"
"The Apprenticeship of Duddy Kravitz (1959), Mordecai Richler","The Apprenticeship of Duddy Kravitz (1974)"
