...1,Book,Movie,movie_titleWiki,movie_year,movie_match,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,BookTitle,BookAuthor,BookMatch,name,author,star_rating,num_ratings
43,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (German: Turlis Abenteuer) (1967),Pinocchio,1967,"Pinocchio,1967",tt0062400,movie,Pinocchio,Turlis Abenteuer,0,1967,\N,75,"Adventure,Family,Fantasy",7,45,Turlis Abenteuer,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
44,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (1968)[N 1],Pinocchio,1968,"Pinocchio,1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
45,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",The Adventures of Pinocchio (Italian: Un burattino di nome Pinocchio) (1972),The Adventures of Pinocchio,1972,"The Adventures of Pinocchio,1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
46,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (1976)[N 1],Pinocchio,1976,"Pinocchio,1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
47,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio's Christmas (1980)[N 1],Pinocchio's Christmas,1980,"Pinocchio's Christmas,1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
48,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",The Adventures of Pinocchio (1984),The Adventures of Pinocchio,1984,"The Adventures of Pinocchio,1984",tt0086857,movie,The Adventures of Pinocchio,The Adventures of Pinocchio,0,1984,\N,98,"Animation,Family",5.1,113,The Adventures of Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
49,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio and the Emperor of the Night (1987),Pinocchio and the Emperor of the Night,1987,"Pinocchio and the Emperor of the Night,1987",tt0093743,movie,Pinocchio and the Emperor of the Night,Pinocchio and the Emperor of the Night,0,1987,\N,87,"Adventure,Animation,Family",6.2,836,Pinocchio and the Emperor of the Night,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
50,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",Pinocchio (1993),Pinocchio,1993,"Pinocchio,1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
51,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",The Adventures of Pinocchio (1996),The Adventures of Pinocchio,1996,"The Adventures of Pinocchio,1996",tt0115472,movie,The Adventures of Pinocchio,The Adventures of Pinocchio,0,1996,\N,96,"Adventure,Drama,Family",5.2,6566,The Adventures of Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
52,"The Adventures of Pinocchio (Italian: Le avventure di Pinocchio. Storia di un burattino) (1883), Carlo Collodi",The New Adventures of Pinocchio (1999),The New Adventures of Pinocchio,1999,"The New Adventures of Pinocchio,1999",tt0199950,movie,The New Adventures of Pinocchio,The New Adventures of Pinocchio,0,1999,\N,94,"Adventure,Family,Fantasy",5,917,The New Adventures of Pinocchio,The Adventures of Pinocchio,Carlo Collodi,"The Adventures of Pinocchio,Carlo Collodi",NA,NA,NA,NA
