Book,Movie,wikiMovieYear,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,wikiBookAuthor,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,release_date,production_budget,domestic_gross,worldwide_gross,book_year,book_movie_years,ROI,name_match,contains_series
"Goldfinger (1959), Ian Fleming",Goldfinger (1964),1964,0,1964,110,"Action,Adventure,Thriller",Action,Adventure,Thriller,7.7,212062,Ian Fleming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 22, 1964",3000000,51100000,124900000,1959,5,40.63333333333333,TRUE,FALSE
"Gone with the Wind (1936), Margaret Mitchell",Gone with the Wind (1939),1939,0,1939,238,"Drama,Romance,War",Drama,Romance,War,8.2,351009,Margaret Mitchell,Gone with the Wind,"[""Margaret Mitchell""]",4.31,1212836,383,"$402,382,193","$200,882,193",49.9%,"$201,500,000",50.1%,1939,"Dec 15, 1939",3900000,198680470,390516513,1936,3,99.13243923076924,TRUE,FALSE
"Hannibal (1999), Thomas Harris",Hannibal (2001),2001,0,2001,131,"Crime,Drama,Thriller",Crime,Drama,Thriller,6.8,308696,Thomas Harris,NA,NA,NA,NA,478,"$351,692,268","$165,092,268",46.9%,"$186,600,000",53.1%,2001,"Feb 9, 2001",87000000,165092266,350100280,1999,2,3.0241411494252874,TRUE,FALSE
"The Moving Target (1949), Ross Macdonald[N 16]",Harper (1966),1966,0,1966,121,"Crime,Drama,Mystery",Crime,Drama,Mystery,6.8,11840,Ross Macdonald[N 16],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb 23, 1966",3500000,12000000,12000000,1949,17,2.4285714285714284,FALSE,FALSE
"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Chamber of Secrets (2002),2002,0,2002,161,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,7.5,744245,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,84,"$882,933,392","$262,641,637",29.8%,"$620,291,755",70.2%,2002,"Nov 15, 2002",100000000,263581232,876145955,1997,5,7.76145955,FALSE,TRUE
"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Goblet of Fire (2005),2005,0,2005,157,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,7.7,731350,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,80,"$899,649,442","$290,469,928",32.3%,"$609,179,514",67.7%,2005,"Nov 18, 2005",150000000,291147424,885923981,1997,8,4.906159873333333,FALSE,TRUE
"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Half-Blood Prince (2009),2009,0,2009,153,"Action,Adventure,Family",Action,Adventure,Family,7.6,640568,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,73,"$941,056,063","$302,334,374",32.1%,"$638,721,689",67.9%,2009,"Jul 15, 2009",250000000,302854063,926055796,1997,12,2.704223184,FALSE,TRUE
"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Order of the Phoenix (2007),2007,0,2007,138,"Action,Adventure,Family",Action,Adventure,Family,7.5,679725,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,71,"$942,872,838","$292,382,727",31%,"$650,490,111",69%,2007,"Jul 11, 2007",150000000,293108509,937444235,1997,10,5.2496282333333335,FALSE,TRUE
"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",Harry Potter and the Prisoner of Azkaban (2004),2004,0,2004,142,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,7.9,744356,"Harry Potter (1997–2007) (series)[N 26], J. K. Rowling",NA,NA,NA,NA,109,"$810,004,984","$250,105,651",30.9%,"$559,899,333",69.1%,2004,"May 31, 2004",130000000,250853809,784234714,1997,7,5.032574723076923,FALSE,TRUE
"Hart's War (1999), John Katzenbach",Hart's War (2002),2002,0,2002,125,"Drama,War",Drama,War,NA,6.4,57181,John Katzenbach,Hart's War,"[""John Katzenbach""]",4.02,1674,NA,NA,NA,NA,NA,NA,NA,"Feb 15, 2002",70000000,19076815,33076815,1999,3,-0.5274740714285714,TRUE,FALSE
"Hawaii (1959), James A. Michener",Hawaii (1966),1966,0,1966,189,Drama,Drama,NA,NA,6.5,3978,James A. Michener,Hawaii,"[""James A. Michener""]",4.21,79009,NA,NA,NA,NA,NA,NA,NA,"Oct 10, 1966",15000000,34562222,34562222,1959,7,1.3041481333333333,TRUE,FALSE
"High Fidelity (1995), Nick Hornby",High Fidelity (2000),2000,0,2000,113,"Comedy,Drama,Music",Comedy,Drama,Music,7.4,196959,Nick Hornby,High Fidelity,"[""Nick Hornby""]",3.91,202992,NA,NA,NA,NA,NA,NA,NA,"Mar 31, 2000",20000000,27277055,47881663,1995,5,1.39408315,TRUE,FALSE
"Peter and Wendy (1911)[N 28], J. M. Barrie",Hook (1991),1991,0,1991,142,"Adventure,Comedy,Family",Adventure,Comedy,Family,6.8,285875,"Peter and Wendy (1911)[N 28], J. M. Barrie",NA,NA,3.98,7224,588,"$300,854,823","$119,654,823",39.8%,"$181,200,000",60.2%,1991,"Dec 11, 1991",70000000,119654823,300854823,1911,80,3.2979260428571426,FALSE,FALSE
"How Green Was My Valley (1939), Richard Llewellyn",How Green Was My Valley (1941),1941,0,1941,118,"Drama,Family",Drama,Family,NA,7.7,28401,Richard Llewellyn,How Green Was My Valley,"[""Richard Llewellyn""]",4.2,17575,NA,NA,NA,NA,NA,NA,NA,"Oct 28, 1941",1250000,0,382,1939,2,-0.9996944,TRUE,FALSE
"Howards End (1910), E. M. Forster",Howards End (1992),1992,0,1992,142,"Drama,Romance",Drama,Romance,NA,7.4,37934,E. M. Forster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mar 13, 1992",8000000,26124872,26354917,1910,82,2.294364625,TRUE,FALSE
"Horseman, Pass By (1961), Larry McMurtry",Hud (1963),1963,0,1963,112,"Drama,Western",Drama,Western,NA,7.8,25414,Larry McMurtry,"Horseman, Pass By","[""Larry McMurtry""]",3.94,4739,NA,NA,NA,NA,NA,NA,NA,"May 29, 1963",2500000,10000000,10000000,1961,2,3,FALSE,FALSE
"I Know What You Did Last Summer (1973), Lois Duncan",I Know What You Did Last Summer (1997),1997,0,1997,101,"Horror,Mystery",Horror,Mystery,NA,5.8,175541,Lois Duncan,I Know What You Did Last Summer,"[""Lois Duncan""]",3.42,17079,NA,NA,NA,NA,NA,NA,NA,"Oct 17, 1997",17000000,72250091,125250091,1973,24,6.3676524117647055,TRUE,FALSE
"I Love You, Beth Cooper (2007), Larry Doyle","I Love You, Beth Cooper (2009)",2009,0,2009,102,"Adventure,Comedy,Family",Adventure,Comedy,Family,5.3,38900,Larry Doyle,"I Love You, Beth Cooper","[""Larry Doyle""]",3.29,7515,NA,NA,NA,NA,NA,NA,NA,"Jul 10, 2009",18000000,14800725,16382538,2007,2,-0.089859,TRUE,FALSE
"Frankenstein (1818), Mary Shelley","I, Frankenstein (2014)",2014,0,2014,92,"Action,Fantasy,Sci-Fi",Action,Fantasy,Sci-Fi,5.1,85497,Mary Shelley,NA,NA,3.87,1619886,NA,NA,NA,NA,NA,NA,NA,"Jan 24, 2014",65000000,19075290,74575290,1818,196,0.14731215384615384,FALSE,FALSE
"And Then There Were None (1939), Agatha Christie",Identity (2003),2003,0,2003,90,"Mystery,Thriller",Mystery,Thriller,NA,7.3,285291,Agatha Christie,And Then There Were None,"[""Agatha Christie""]",4.28,1380887,NA,NA,NA,NA,NA,NA,NA,"Apr 25, 2003",28000000,52131264,82119036,1939,64,1.9328227142857144,FALSE,FALSE
"In the Heat of the Night (1965), John Bell",In the Heat of the Night (1967),1967,0,1967,110,"Drama,Mystery,Thriller",Drama,Mystery,Thriller,7.9,89122,John Bell,NA,NA,4.1,56188,NA,NA,NA,NA,NA,NA,NA,"Aug 2, 1967",2000000,24379978,24407647,1965,2,11.2038235,TRUE,FALSE
"Interview with the Vampire (1976), Anne Rice",Interview with the Vampire (1994),1994,0,1994,123,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,7.5,368813,Anne Rice,Interview with the Vampire,"[""Anne Rice""]",4.02,594912,828,"$223,664,608","$105,264,608",47.1%,"$118,400,000",52.9%,1994,"Nov 11, 1994",50000000,105341412,223641412,1976,18,3.47282824,TRUE,FALSE
"One Shot (2004), Lee Child",Jack Reacher (2012),2012,0,2012,130,"Action,Thriller",Action,Thriller,NA,7,384115,Lee Child,One Shot,"[""Lee Child""]",4.24,116117,853,"$218,340,595","$80,070,736",36.7%,"$138,269,859",63.3%,2012,"Dec 20, 2012",60000000,80070736,217370736,2004,8,2.6228456000000002,FALSE,FALSE
"Rum Punch (1992), Elmore Leonard",Jackie Brown (1997),1997,0,1997,154,"Crime,Drama,Thriller",Crime,Drama,Thriller,7.5,395904,Elmore Leonard,Rum Punch,"[""Elmore Leonard""]",3.93,11520,NA,NA,NA,NA,NA,NA,NA,"Dec 25, 1997",12000000,39673162,74727492,1992,5,5.227291,FALSE,FALSE
"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",Jason Bourne (2016),2016,0,2016,123,"Action,Thriller",Action,Thriller,NA,6.6,253056,"Bourne (1980–2012) (series)[N 11], Robert Ludlum and Eric Van Lustbader",NA,NA,NA,NA,357,"$415,484,914","$162,434,410",39.1%,"$253,050,504",60.9%,2016,"Jul 20, 2016",120000000,162192920,416168316,1980,36,2.4680693,FALSE,TRUE
"Jaws (1974), Peter Benchley",Jaws 2 (1978),1978,0,1978,116,"Adventure,Horror,Thriller",Adventure,Horror,Thriller,5.8,90963,Peter Benchley,Jaws,"[""Peter Benchley""]",3.96,163991,NA,NA,NA,NA,NA,NA,NA,"Jun 16, 1978",20000000,102922376,208900376,1974,4,9.4450188,FALSE,FALSE
"Jaws (1974), Peter Benchley",Jaws (1975),1975,0,1975,124,"Adventure,Horror,Thriller",Adventure,Horror,Thriller,8.1,719009,Peter Benchley,Jaws,"[""Peter Benchley""]",3.96,163991,271,"$490,736,300","$280,083,300",57.1%,"$210,653,000",42.9%,1975,"Jun 20, 1975",12000000,286481270,497165413,1974,1,40.43045108333333,TRUE,FALSE
"A Princess of Mars (1917), Edgar Rice Burroughs",John Carter (2012),2012,0,2012,132,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.6,295795,Edgar Rice Burroughs,A Princess of Mars,"[""Edgar Rice Burroughs""]",3.81,57902,635,"$284,139,100","$73,078,100",25.7%,"$211,061,000",74.3%,2012,"Mar 7, 2012",263700000,73058679,282778100,1917,95,0.07234774364808494,FALSE,FALSE
"The Mysterious Island (French: L'Île mystérieuse) (1874), Jules Verne",Journey 2: The Mysterious Island (2012),2012,0,2012,94,"Action,Adventure,Comedy",Action,Adventure,Comedy,5.7,118622,Jules Verne,The Mysterious Island,"[""Jules Verne""]",4.13,54656,507,"$335,288,576","$103,887,748",31%,"$231,400,828",69%,2012,"Jan 19, 2012",79000000,103860290,318146162,1874,138,3.027166607594937,FALSE,FALSE
"Journey to the Center of the Earth (French: Voyage au centre de la Terre) (1864), Jules Verne",Journey to the Center of the Earth (2008),2008,0,2008,93,"Action,Adventure,Family",Action,Adventure,Family,5.8,138335,Jules Verne,Journey to the Center of the Earth,"[""Jules Verne""]",3.91,NA,754,"$244,232,688","$101,704,370",41.6%,"$142,528,318",58.4%,2008,"Jul 11, 2008",45000000,101704370,243180937,1864,144,4.404020822222222,TRUE,FALSE
"Jurassic Park (1990), Michael Crichton",Jurassic Park III (2001),2001,0,2001,92,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6,362341,Michael Crichton,Jurassic Park,"[""Michael Crichton""]",4.1,967542,438,"$368,780,809","$181,171,875",49.1%,"$187,608,934",50.9%,2001,"Jul 18, 2001",93000000,181166115,365900000,1990,11,2.934408602150538,FALSE,FALSE
"Jurassic Park (1990), Michael Crichton",Jurassic Park (1993),1993,0,1993,127,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,8.2,1147817,Michael Crichton,Jurassic Park,"[""Michael Crichton""]",4.1,967542,39,"$1,104,379,926","$407,185,075",36.9%,"$697,194,851",63.1%,1993,"Jun 11, 1993",63000000,415404543,1058454230,1990,3,15.800860793650793,TRUE,FALSE
"Jurassic Park (1990), Michael Crichton",Jurassic World (2015),2015,0,2015,124,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.9,716033,Michael Crichton,Jurassic Park,"[""Michael Crichton""]",4.1,967542,10,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,"Jun 9, 2015",215000000,653406625,1671063641,1990,25,6.772389027906977,FALSE,FALSE
"Jurassic Park (1990), Michael Crichton",Jurassic World: Fallen Kingdom (2018),2018,0,2018,128,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.1,371716,Michael Crichton,Jurassic Park,"[""Michael Crichton""]",4.1,967542,23,"$1,310,469,037","$417,719,760",31.9%,"$892,749,277",68.1%,2018,"Jun 6, 2018",170000000,417719760,1308323302,1990,28,6.696019423529412,FALSE,FALSE
"The Feather Men (1991), Sir Ranulph Fiennes",Killer Elite (2011),2011,0,2011,116,"Action,Crime,Thriller",Action,Crime,Thriller,6.4,139605,Sir Ranulph Fiennes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sep 23, 2011",70000000,25124986,65409046,1991,20,-0.06558505714285714,FALSE,FALSE
"Kiss the Girls (1995), James Patterson",Kiss the Girls (1997),1997,0,1997,115,"Crime,Drama,Mystery",Crime,Drama,Mystery,6.6,98263,James Patterson,Kiss the Girls,"[""James Patterson""]",3.99,339287,NA,NA,NA,NA,NA,NA,NA,"Oct 3, 1997",27000000,60527873,60527873,1995,2,1.241773074074074,TRUE,FALSE
"L.A. Confidential (1990), James Ellroy",L.A. Confidential (1997),1997,0,1997,138,"Crime,Drama,Mystery",Crime,Drama,Mystery,8.2,648980,James Ellroy,L.A. Confidential,"[""James Ellroy""]",4.18,34752,NA,NA,NA,NA,NA,NA,NA,"Sep 19, 1997",35000000,64604977,126204977,1990,7,2.605856485714286,TRUE,FALSE
"Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins",Left Behind (2014),2014,0,2014,110,"Action,Fantasy,Sci-Fi",Action,Fantasy,Sci-Fi,3.1,43973,Tim LaHaye and Jerry B. Jenkins,NA,NA,3.86,234912,NA,NA,NA,NA,NA,NA,NA,"Oct 3, 2014",16000000,14019924,20769209,1995,19,0.2980755625,TRUE,TRUE
"Les Misérables (1862), Victor Hugo",Les Misérables (2012),2012,0,2012,158,"Drama,Musical,Romance",Drama,Musical,Romance,7.5,357719,Victor Hugo,NA,NA,NA,NA,329,"$442,757,529","$149,260,140",33.7%,"$293,497,389",66.3%,2012,"Dec 19, 2012",65000000,149260140,435292452,1862,150,5.696806953846154,TRUE,FALSE
"Let the Right One In (Swedish: Låt den rätte komma in) (2004), John Ajvide Lindqvist",Let Me In (2010),2010,0,2010,116,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,7.1,131774,John Ajvide Lindqvist,Let the Right One In,"[""John Ajvide Lindqvist""]",4.04,112129,NA,NA,NA,NA,NA,NA,NA,"Oct 1, 2010",20000000,12134935,28270399,2004,6,0.41351995,FALSE,FALSE
"Life of Pi  (2001), Yann Martel",Life of Pi (2012),2012,0,2012,127,"Adventure,Drama,Fantasy",Adventure,Drama,Fantasy,7.9,691443,Yann Martel,NA,NA,NA,NA,197,"$609,016,565","$124,987,023",20.5%,"$484,029,542",79.5%,2012,"Nov 21, 2012",120000000,124987022,619310368,2001,11,4.160919733333333,TRUE,FALSE
"The Space Vampires (1976), Colin Wilson",Lifeforce (1985),1985,0,1985,101,"Action,Horror,Mystery",Action,Horror,Mystery,6.1,33156,Colin Wilson,The Space Vampires,"[""Colin Wilson""]",3.33,867,NA,NA,NA,NA,NA,NA,NA,"Jun 21, 1985",25000000,11603545,11603545,1976,9,-0.5358582,FALSE,FALSE
"The Dark Fields (2001), Alan Glynn",Limitless (2011),2011,0,2011,105,"Sci-Fi,Thriller",Sci-Fi,Thriller,NA,7.4,637113,Alan Glynn,The Dark Fields,"[""Alan Glynn""]",3.83,6608,NA,NA,NA,NA,NA,NA,NA,"Mar 18, 2011",27000000,79249455,155564919,2001,10,4.761663666666666,FALSE,FALSE
"Live and Let Die (1954), Ian Fleming",Live and Let Die (1973),1973,0,1973,121,"Action,Adventure,Thriller",Action,Adventure,Thriller,6.7,121304,Ian Fleming,Live and Let Die,"[""Ian Fleming""]",3.63,32578,NA,NA,NA,NA,NA,NA,NA,"Jun 27, 1973",7000000,35400000,161800000,1954,19,22.114285714285714,TRUE,FALSE
"Lolita (1955), Vladimir Nabokov",Lolita (1962),1962,0,1962,153,"Crime,Drama,Romance",Crime,Drama,Romance,7.5,114031,Vladimir Nabokov,Lolita,"[""Vladimir Nabokov""]",3.88,859319,NA,NA,NA,NA,NA,NA,NA,"Jun 13, 1962",2000000,9250000,9250000,1955,7,3.625,TRUE,FALSE
"MASH: A Novel About Three Army Doctors (1968), Richard Hooker",M*A*S*H (1970),1970,0,1970,116,"Comedy,Drama,War",Comedy,Drama,War,7.3,81255,Richard Hooker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan 1, 1970",3500000,81600000,81600193,1968,2,22.314340857142856,FALSE,FALSE
"Man on Fire (1980), A. J. Quinnell",Man on Fire (2004),2004,0,2004,146,"Action,Crime,Drama",Action,Crime,Drama,7.7,409635,A. J. Quinnell,NA,NA,4.27,4107,NA,NA,NA,NA,NA,NA,NA,"Apr 23, 2004",60000000,77906816,130968579,1980,24,1.18280965,TRUE,FALSE
"Mary Poppins (1934–1988) (series), P. L. Travers",Mary Poppins Returns (2018),2018,0,2018,130,"Adventure,Comedy,Family",Adventure,Comedy,Family,6.7,99205,P. L. Travers,NA,NA,4.01,134283,451,"$362,529,106","$171,958,438",47.4%,"$190,570,668",52.6%,2018,"Dec 19, 2018",130000000,171958438,345606500,1934,84,1.6585115384615385,FALSE,TRUE
"Mary Poppins (1934–1988) (series), P. L. Travers",Mary Poppins (1964),1964,0,1964,139,"Comedy,Family,Fantasy",Comedy,Family,Fantasy,7.8,194930,P. L. Travers,NA,NA,4.01,134283,NA,NA,NA,NA,NA,NA,NA,"Aug 26, 1964",6000000,102272145,102299101,1934,30,16.049850166666666,TRUE,TRUE
"Maurice (1971), E. M. Forster",Maurice (1987),1987,0,1987,140,"Drama,Romance",Drama,Romance,NA,7.6,26181,E. M. Forster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,2600000,3147950,3305831,1971,16,0.2714734615384615,TRUE,FALSE
"Me and Earl and the Dying Girl (2012), Jesse Andrews",Me and Earl and the Dying Girl (2015)[1],2015,0,2015,105,"Comedy,Drama",Comedy,Drama,NA,7.7,143351,Jesse Andrews,Me and Earl and the Dying Girl,"[""Jesse Andrews""]",3.51,142883,NA,NA,NA,NA,NA,NA,NA,"Jun 12, 2015",8000000,6758416,9266180,2012,3,0.1582725,TRUE,FALSE
"Memoirs of an Invisible Man (1987), H.F. Saint",Memoirs of an Invisible Man (1992),1992,0,1992,99,"Comedy,Romance,Sci-Fi",Comedy,Romance,Sci-Fi,6,28636,H.F. Saint,Memoirs of an Invisible Man,"[""H.F. Saint""]",4.11,1855,NA,NA,NA,NA,NA,NA,NA,"Feb 28, 1992",40000000,14358033,14358033,1987,5,-0.641049175,TRUE,FALSE
"Simple Simon (1996), Ryne Douglas Pearson",Mercury Rising (1998),1998,0,1998,111,"Action,Crime,Drama",Action,Crime,Drama,6.1,80314,Ryne Douglas Pearson,Simple Simon,"[""Ryne Douglas Pearson""]",4,NA,NA,NA,NA,NA,NA,NA,NA,"Apr 3, 1998",60000000,32983332,32983332,1996,2,-0.4502778,FALSE,FALSE
"Message in a Bottle (1998), Nicholas Sparks",Message in a Bottle (1999),1999,0,1999,126,"Drama,Romance",Drama,Romance,NA,6.3,41859,Nicholas Sparks,Message in a Bottle,"[""Nicholas Sparks""]",3.98,239438,NA,NA,NA,NA,NA,NA,NA,"Feb 12, 1999",30000000,52880016,52880016,1998,1,0.7626672,TRUE,FALSE
"Waltz into Darkness (1947), Cornell Woolrich[N 15]",Mississippi Mermaid (1969),1969,0,1969,123,"Crime,Drama,Romance",Crime,Drama,Romance,6.9,7905,Cornell Woolrich[N 15],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jun 18, 1969",1600000,27795,2627795,1947,22,0.642371875,FALSE,FALSE
"Moby-Dick (1851), Herman Melville",Moby Dick (1956),1956,0,1956,116,"Adventure,Drama",Adventure,Drama,NA,7.3,23558,Herman Melville,NA,NA,3.55,566184,NA,NA,NA,NA,NA,NA,NA,"Jun 27, 1956",4500000,10400000,10411891,1851,105,1.3137535555555555,FALSE,FALSE
"Headhunters (2001), Jules Bass",Monte Carlo (2011),2011,0,2011,109,"Adventure,Comedy,Family",Adventure,Comedy,Family,5.8,51478,Jules Bass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jul 1, 2011",20000000,23186769,39686769,2001,10,0.98433845,FALSE,FALSE
"Moonraker (1955), Ian Fleming",Moonraker (1979),1979,0,1979,126,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,6.3,114461,Ian Fleming,Moonraker,"[""Ian Fleming""]",3.8,27826,905,"$210,308,099","$70,308,099",33.4%,"$140,000,000",66.6%,1979,"Jun 29, 1979",31000000,70300000,210300000,1955,24,5.783870967741936,TRUE,FALSE
"Vengeance (1984),[3]George Jonas",Munich (2005),2005,0,2005,164,"Drama,History,Thriller",Drama,History,Thriller,7.5,249752,"Vengeance (1984),[3]George Jonas",NA,NA,4.12,2070,NA,NA,NA,NA,NA,NA,NA,"Dec 23, 2005",75000000,47379090,131492772,1984,21,0.75323696,FALSE,FALSE
"Murder on the Orient Express (1934), Agatha Christie",Murder on the Orient Express (2017),2017,0,2017,114,"Comedy,Crime,Drama",Comedy,Crime,Drama,6.5,315159,Agatha Christie,Murder on the Orient Express,"[""Agatha Christie""]",4.2,633243,472,"$352,794,081","$102,826,543",29.2%,"$249,967,538",70.8%,2017,"Nov 3, 2017",55000000,102826543,351767147,1934,83,5.395766309090909,TRUE,FALSE
"Mystic River (2001), Dennis Lehane",Mystic River (2003),2003,0,2003,138,"Crime,Drama,Mystery",Crime,Drama,Mystery,7.9,511826,Dennis Lehane,Mystic River,"[""Dennis Lehane""]",4.17,146267,NA,NA,NA,NA,NA,NA,NA,"Oct 8, 2003",30000000,90135191,156822020,2001,2,4.227400666666667,TRUE,FALSE
"Thunderball (1961), Ian Fleming",Never Say Never Again (1983),1983,0,1983,134,"Action,Adventure,Thriller",Action,Adventure,Thriller,6.1,76218,Ian Fleming,Thunderball,"[""Ian Fleming""]",3.83,16850,NA,NA,NA,NA,NA,NA,NA,"Oct 7, 1983",36000000,55500000,160000000,1961,22,3.4444444444444446,FALSE,FALSE
"News of the World (2016), Paulette Jiles",News of the World (2020),2020,0,2020,118,"Action,Adventure,Drama",Action,Adventure,Drama,6.8,99741,Paulette Jiles,News of the World,"[""Paulette Jiles""]",4.08,106254,NA,NA,NA,NA,NA,NA,NA,"Dec 25, 2020",38000000,12668325,12668325,2016,4,-0.6666230263157895,TRUE,FALSE
"Nicholas Nickleby (serialised 1838–1839, published as a book 1839), Charles Dickens",Nicholas Nickleby (2002),2002,0,2002,132,"Adventure,Drama,Romance",Adventure,Drama,Romance,7.1,14681,Charles Dickens,Nicholas Nickleby,"[""Charles Dickens""]",3.94,45011,NA,NA,NA,NA,NA,NA,NA,"Dec 27, 2002",10000000,1562800,3311924,1838,164,-0.6688076,TRUE,FALSE
"Nightmare Alley (1946), William Lindsay Gresham",Nightmare Alley (2021),2021,0,2021,150,"Crime,Drama,Thriller",Crime,Drama,Thriller,7,177994,William Lindsay Gresham,Nightmare Alley,"[""William Lindsay Gresham""]",3.83,6532,NA,NA,NA,NA,NA,NA,NA,"Dec 17, 2021",60000000,11338107,37537773,1946,75,-0.37437045,TRUE,FALSE
"No Country for Old Men (2005), Cormac McCarthy",No Country for Old Men (2007),2007,0,2007,122,"Crime,Drama,Thriller",Crime,Drama,Thriller,8.2,1152475,Cormac McCarthy,No Country for Old Men,"[""Cormac McCarthy""]",4.16,204790,NA,NA,NA,NA,NA,NA,NA,"Nov 9, 2007",25000000,74273505,164035753,2005,2,5.56143012,TRUE,FALSE
"Dracula (1897), Bram Stoker",Nosferatu (2024),2024,0,2024,132,"Fantasy,Horror,Mystery",Fantasy,Horror,Mystery,7.2,239933,Bram Stoker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 25, 2024",50000000,95608235,181805645,1897,127,2.6361129,FALSE,FALSE
"Odyssey (8th century BC), Homer","O Brother, Where Art Thou? (2000)",2000,0,2000,107,"Adventure,Comedy,Crime",Adventure,Comedy,Crime,7.7,345906,Homer,NA,NA,3.81,1094011,NA,NA,NA,NA,NA,NA,NA,"Sep 15, 2000",26000000,45506619,75763814,NA,NA,1.9139928461538462,FALSE,FALSE
"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",Oliver Twist (2005),2005,0,2005,130,"Crime,Drama",Crime,Drama,NA,6.8,35260,Charles Dickens,Oliver Twist,"[""Charles Dickens""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sep 23, 2005",65000000,2070920,26670920,1837,168,-0.5896781538461539,TRUE,FALSE
"Oliver Twist (serialised 1837–1839, published as a book 1838), Charles Dickens",Oliver! (1968),1968,0,1968,153,"Drama,Family,Musical",Drama,Family,Musical,7.4,43588,Charles Dickens,Oliver Twist,"[""Charles Dickens""]",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dec 11, 1968",10000000,37402877,37402877,1837,131,2.7402877,FALSE,FALSE
"On Her Majesty's Secret Service (1963), Ian Fleming",On Her Majesty's Secret Service (1969),1969,0,1969,142,"Action,Adventure,Thriller",Action,Adventure,Thriller,6.7,105202,Ian Fleming,On Her Majesty's Secret Service,"[""Ian Fleming""]",3.97,20629,NA,NA,NA,NA,NA,NA,NA,"Nov 28, 1969",8000000,22800000,82000000,1963,6,9.25,TRUE,FALSE
"The Open Range Men (1990), Lauran Paine",Open Range (2003),2003,0,2003,139,"Action,Drama,Romance",Action,Drama,Romance,7.4,82305,Lauran Paine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug 15, 2003",26000000,58331254,68613992,1990,13,1.6389996923076924,FALSE,FALSE
"Ordinary People (1976), Judith Guest",Ordinary People (1980),1980,0,1980,124,Drama,Drama,NA,NA,7.7,60460,Judith Guest,Ordinary People,"[""Judith Guest""]",3.93,21825,NA,NA,NA,NA,NA,NA,NA,"Sep 19, 1980",6200000,52302978,52304352,1976,4,7.436185806451613,TRUE,FALSE
"Waltz into Darkness (1947), Cornell Woolrich[N 15]",Original Sin (2001),2001,0,2001,116,"Crime,Drama,Mystery",Crime,Drama,Mystery,6,62567,Cornell Woolrich[N 15],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug 3, 2001",26000000,16521410,16521410,1947,54,-0.36456115384615384,FALSE,FALSE
"Out of Sight (1996), Elmore Leonard",Out of Sight (1998),1998,0,1998,123,"Comedy,Crime,Drama",Comedy,Crime,Drama,7,104266,Elmore Leonard,Out of Sight,"[""Elmore Leonard""]",3.94,12569,NA,NA,NA,NA,NA,NA,NA,"Jun 26, 1998",48000000,37562568,77562568,1996,2,0.6158868333333334,TRUE,FALSE
