Book,Movie,wikiMovieYear,isAdult,startYear,runtimeMinutes,genres,genre_1,genre_2,genre_3,averageRating,numVotes,wikiBookAuthor,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,release_date,production_budget,domestic_gross,worldwide_gross,book_year,book_movie_years,ROI,name_match,contains_series
"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (2004),2004,0,2004,120,"Action,Adventure,Comedy",Action,Adventure,Comedy,5.9,98390,Jules Verne,Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,"Jun 16, 2004",110000000,24004159,72004159,1873,131,-0.34541673636363635,FALSE,FALSE
"Atonement (2001), Ian McEwan",Atonement (2007),2007,0,2007,123,"Drama,Mystery,Romance",Drama,Mystery,Romance,7.8,320482,Ian McEwan,Atonement,"[""Ian McEwan""]",3.94,523755,NA,NA,NA,NA,NA,NA,NA,"Dec 7, 2007",30000000,50980159,129779728,2001,6,3.3259909333333333,TRUE,FALSE
"Babylon Babies (1999), Maurice Georges Dantec",Babylon A.D. (2008),2008,0,2008,90,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,5.5,100280,Maurice Georges Dantec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug 29, 2008",45000000,22532572,70216497,1999,9,0.5603666,FALSE,FALSE
"The Luck of Barry Lyndon (1844), William Makepeace Thackeray",Barry Lyndon (1975),1975,0,1975,185,"Adventure,Drama,War",Adventure,Drama,War,8.1,198178,William Makepeace Thackeray,NA,NA,3.63,2545,NA,NA,NA,NA,NA,NA,NA,1975,11000000,20000000,20296671,1844,131,0.8451519090909091,FALSE,FALSE
"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",Battle for the Planet of the Apes (1973),1973,0,1973,93,"Action,Sci-Fi",Action,Sci-Fi,NA,5.4,37203,Pierre Boulle,Planet of the Apes,"[""Pierre Boulle""]",3.98,43239,NA,NA,NA,NA,NA,NA,NA,1973,1800000,8800000,8800000,1963,10,3.888888888888889,FALSE,FALSE
"Be Cool (1999), Elmore Leonard",Be Cool (2005),2005,0,2005,118,"Comedy,Crime,Music",Comedy,Crime,Music,5.6,74258,Elmore Leonard,Be Cool,"[""Elmore Leonard""]",3.53,6956,NA,NA,NA,NA,NA,NA,NA,"Mar 4, 2005",75000000,55849401,94944017,1999,6,0.26592022666666665,TRUE,FALSE
"The Beast Master (1959), Andre Norton",Beastmaster 2: Through the Portal of Time (1991),1991,0,1991,107,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,4.2,3811,Andre Norton,The Beast Master,"[""Andre Norton""]",4,2260,NA,NA,NA,NA,NA,NA,NA,"Aug 30, 1991",6000000,773490,773490,1959,32,-0.871085,FALSE,FALSE
"Beautiful Creatures (2009), Kami Garcia and Margaret Stohl",Beautiful Creatures (2013),2013,0,2013,124,"Drama,Fantasy,Romance",Drama,Fantasy,Romance,6.1,92711,Kami Garcia and Margaret Stohl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb 14, 2013",50000000,19452138,60282876,2009,4,0.20565752,TRUE,FALSE
"Theatre (1937), W. Somerset Maugham",Being Julia (2004),2004,0,2004,104,"Comedy,Drama,Romance",Comedy,Drama,Romance,7,13275,W. Somerset Maugham,Theatre,"[""W. Somerset Maugham""]",4.17,8604,NA,NA,NA,NA,NA,NA,NA,"Oct 15, 2004",18000000,7739049,14451322,1937,67,-0.19714877777777778,FALSE,FALSE
"Beloved (1987), Toni Morrison",Beloved (1998),1998,0,1998,172,"Drama,History,Horror",Drama,History,Horror,6.1,9917,Toni Morrison,Beloved,"[""Toni Morrison""]",3.95,441460,NA,NA,NA,NA,NA,NA,NA,"Oct 16, 1998",53000000,22852487,22852487,1987,11,-0.568821,TRUE,FALSE
