...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
233,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Globehunters: An Around the World in 80 Days Adventure (2002)[N 1],Globehunters: An Around the World in 80 Days Adventure,2002,"Globehunters: An Around the World in 80 Days Adventure,2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (2004),Around the World in 80 Days,2004,"Around the World in 80 Days,2004",tt0327437,Around the World in 80 Days,Around the World in 80 Days,0,2004,120,"Action,Adventure,Comedy",5.9,98390,Around the World in 80 Days,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,457,457,"Jun 16, 2004",Around the World in 80 Days,110000000,24004159,"$72,004,159",401,"Around the World in 80 Days,2004"
235,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (2021),Around the World in 80 Days,2021,"Around the World in 80 Days,2021",tt10341040,Around the World in 80 Days,Around the World in 80 Days,0,2021,82,"Adventure,Animation,Comedy",4.7,1088,Around the World in 80 Days,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,"Arouse and Beware (1936), MacKinlay Kantor",The Man from Dakota (1940),The Man from Dakota,1940,"The Man from Dakota,1940",tt0031617,The Man from Dakota,The Man from Dakota,0,1940,75,"Drama,War,Western",5.6,142,The Man from Dakota,Arouse and Beware,MacKinlay Kantor,"Arouse and Beware,MacKinlay Kantor",Arouse and Beware,"[""MacKinlay Kantor""]",3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,"Arrowsmith (1925), Sinclair Lewis",Arrowsmith (1931),Arrowsmith,1931,"Arrowsmith,1931",tt0021622,Arrowsmith,Arrowsmith,0,1931,108,Drama,6.2,2162,Arrowsmith,Arrowsmith,Sinclair Lewis,"Arrowsmith,Sinclair Lewis",Arrowsmith,"[""Sinclair Lewis""]",3.84,8064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"Ashes and Diamonds (Polish: Popiół i diament) (1948), Jerzy Andrzejewski",Ashes and Diamonds (1958),Ashes and Diamonds,1958,"Ashes and Diamonds,1958",tt0052080,Ashes and Diamonds,Popiól i diament,0,1958,103,"Drama,Romance,War",7.7,14477,Popiól i diament,Ashes and Diamonds,Jerzy Andrzejewski,"Ashes and Diamonds,Jerzy Andrzejewski",Ashes and Diamonds,"[""Jerzy Andrzejewski""]",3.66,856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,"Ask the Dust (1939), John Fante",Ask the Dust (2006),Ask the Dust,2006,"Ask the Dust,2006",tt0384814,Ask the Dust,Ask the Dust,0,2006,117,"Drama,Romance",5.7,10359,Ask the Dust,Ask the Dust,John Fante,"Ask the Dust,John Fante",Ask the Dust,"[""John Fante""]",4.11,35605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,"Asking for Trouble (2001), Elizabeth Young",The Wedding Date (2005),The Wedding Date,2005,"The Wedding Date,2005",tt0372532,The Wedding Date,The Wedding Date,0,2005,90,"Comedy,Romance",6.1,58458,The Wedding Date,Asking for Trouble,Elizabeth Young,"Asking for Trouble,Elizabeth Young",Asking for Trouble,"[""Elizabeth Young""]",3.6,8985,NA,NA,NA,NA,NA,NA,NA,3567,3567,"Feb 4, 2005",The Wedding Date,15000000,31726995,"$47,175,038",3501,"The Wedding Date,2005"
241,"The Asphalt Jungle (1949), W. R. Burnett",The Asphalt Jungle (1950),The Asphalt Jungle,1950,"The Asphalt Jungle,1950",tt0042208,The Asphalt Jungle,The Asphalt Jungle,0,1950,112,"Crime,Drama,Film-Noir",7.8,32100,The Asphalt Jungle,The Asphalt Jungle,W. R. Burnett,"The Asphalt Jungle,W. R. Burnett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"The Asphalt Jungle (1949), W. R. Burnett",The Badlanders (1959),The Badlanders,1959,"The Badlanders,1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Asphalt Jungle,W. R. Burnett,"The Asphalt Jungle,W. R. Burnett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
