...1.x,Book,Movie,wikiMovieTitle,wikiMovieYear,wikiMovieMatch,tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,movie_title,wikiBookTitle,wikiBookAuthor,wikiBookMatch,goodreadsentrytitle,goodreadsentryauthor,goodreads_rating,goodreads_numratings,wmrank,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,...1.y,x,release_date,movie,production_budget,domestic_gross,worldwide_gross,source_offset,movie_match
193,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (1997),Anna Karenina,1997,"Anna Karenina,1997",tt0118623,Anna Karenina,Anna Karenina,0,1997,108,"Drama,Romance",6.3,6380,Anna Karenina,Anna Karenina,Leo Tolstoy,"Anna Karenina,Leo Tolstoy",Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (2005),Anna Karenina,2005,"Anna Karenina,2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anna Karenina,Leo Tolstoy,"Anna Karenina,Leo Tolstoy",Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (2005),Anna Karenina,2005,"Anna Karenina,2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anna Karenina,Leo Tolstoy,"Anna Karenina,Leo Tolstoy",Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (2012),Anna Karenina,2012,"Anna Karenina,2012",tt1781769,Anna Karenina,Anna Karenina,0,2012,129,"Drama,Romance",6.6,110918,Anna Karenina,Anna Karenina,Leo Tolstoy,"Anna Karenina,Leo Tolstoy",Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,NA,NA,NA,NA,NA,NA,NA,1475,1475,"Sep 7, 2012",Anna Karenina,49000000,12816367,"$71,004,627",1401,"Anna Karenina,2012"
195,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",Anna Karenina (2012),Anna Karenina,2012,"Anna Karenina,2012",tt1781769,Anna Karenina,Anna Karenina,0,2012,129,"Drama,Romance",6.6,110918,Anna Karenina,Anna Karenina,Leo Tolstoy,"Anna Karenina,Leo Tolstoy",Anna Karenina,"[""Leo Tolstoy""]",4.09,857124,NA,NA,NA,NA,NA,NA,NA,1475,1475,"Sep 7, 2012",Anna Karenina,49000000,12816367,"$71,004,627",1401,"Anna Karenina,2012"
196,"Anna to the Infinite Power (1979), Mildred Ames",Anna to the Infinite Power (1983),Anna to the Infinite Power,1983,"Anna to the Infinite Power,1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anna to the Infinite Power,Mildred Ames,"Anna to the Infinite Power,Mildred Ames",Anna to the Infinite Power,"[""Mildred Ames""]",3.94,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,"Anne of Avonlea (1909), Lucy Maud Montgomery",same as below,same as below,NA,"same as below,NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne of Avonlea,Lucy Maud Montgomery,"Anne of Avonlea,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables (1919),Anne of Green Gables,1919,"Anne of Green Gables,1919",tt0009879,Anne of Green Gables,Anne of Green Gables,0,1919,60,"Comedy,Drama",7.1,84,Anne of Green Gables,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables (1934),Anne of Green Gables,1934,"Anne of Green Gables,1934",tt0024831,Anne of Green Gables,Anne of Green Gables,0,1934,78,"Comedy,Drama,Family",7,1548,Anne of Green Gables,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Windy Poplars (1940),Anne of Windy Poplars,1940,"Anne of Windy Poplars,1940",tt0032211,Anne of Windy Poplars,Anne of Windy Poplars,0,1940,86,"Drama,Romance",6.3,250,Anne of Windy Poplars,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables (1956)[N 1],Anne of Green Gables,1956,"Anne of Green Gables,1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables (1985)[N 1],Anne of Green Gables,1985,"Anne of Green Gables,1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Avonlea (1987)[N 1],Anne of Avonlea,1987,"Anne of Avonlea,1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables: The Continuing Story (2000)[N 1],Anne of Green Gables: The Continuing Story,2000,"Anne of Green Gables: The Continuing Story,2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,"Anne of Green Gables (1908), Lucy Maud Montgomery",Anne of Green Gables: A New Beginning (2009)[N 1],Anne of Green Gables: A New Beginning,2009,"Anne of Green Gables: A New Beginning,2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne of Green Gables,Lucy Maud Montgomery,"Anne of Green Gables,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"Anne of Windy Poplars (1936), Lucy Maud Montgomery",same as above,same as above,NA,"same as above,NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anne of Windy Poplars,Lucy Maud Montgomery,"Anne of Windy Poplars,Lucy Maud Montgomery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"Annihilation (2014), Jeff VanderMeer",Annihilation (2018),Annihilation,2018,"Annihilation,2018",tt2798920,Annihilation,Annihilation,0,2018,115,"Adventure,Drama,Horror",6.8,386016,Annihilation,Annihilation,Jeff VanderMeer,"Annihilation,Jeff VanderMeer",Annihilation,"[""Jeff VanderMeer""]",3.77,237532,NA,NA,NA,NA,NA,NA,NA,1270,1270,"Feb 23, 2018",Annihilation,55000000,32732301,"$43,070,915",1201,"Annihilation,2018"
208,"The Anointed (1937), Clyde Brion Davis",Adventure (1945),Adventure,1945,"Adventure,1945",tt0037494,Adventure,Adventure,0,1945,125,"Comedy,Drama,Romance",6.1,1308,Adventure,The Anointed,Clyde Brion Davis,"The Anointed,Clyde Brion Davis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,"Another (アナザー, Anazā) (2009), Yukito Ayatsuji",Another (2012),Another,2012,"Another,2012",tt1891747,Another,Anazâ,0,2012,109,"Horror,Mystery",5.4,943,Anazâ,Another,Yukito Ayatsuji,"Another,Yukito Ayatsuji",Another,"[""Yukito Ayatsuji""]",4.15,3008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,"Another (アナザー, Anazā) (2009), Yukito Ayatsuji",Another (2012),Another,2012,"Another,2012",tt1891747,Another,Anazâ,0,2012,109,"Horror,Mystery",5.4,943,Anazâ,Another,Yukito Ayatsuji,"Another,Yukito Ayatsuji",Another,"[""Yukito Ayatsuji""]",4.15,3008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,"Anthony Adverse (1933), Hervey Allen",Anthony Adverse (1936),Anthony Adverse,1936,"Anthony Adverse,1936",tt0027300,Anthony Adverse,Anthony Adverse,0,1936,141,"Adventure,Drama,Romance",6.3,2148,Anthony Adverse,Anthony Adverse,Hervey Allen,"Anthony Adverse,Hervey Allen",Anthony Adverse,"[""Hervey Allen""]",4.01,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,"Antikiller (French: Антикиллер) (1999), Daniil Koretsky",Antikiller (2002),Antikiller,2002,"Antikiller,2002",tt0325005,Antikiller,[Anti]killer,0,2002,114,"Action,Crime",5.5,1801,[Anti]killer,Antikiller,Daniil Koretsky,"Antikiller,Daniil Koretsky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"Antonieta (1978), Andrés Henestrosa",Antonieta (1982),Antonieta,1982,"Antonieta,1982",tt0083567,Antonieta,Antonieta,0,1982,108,"Biography,Drama,War",5.9,428,Antonieta,Antonieta,Andrés Henestrosa,"Antonieta,Andrés Henestrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,"Apache Rising (1957), Marvin H. Albert",Duel at Diablo (1966),Duel at Diablo,1966,"Duel at Diablo,1966",tt0060355,Duel at Diablo,Duel at Diablo,0,1966,103,"Drama,Thriller,Western",6.5,4736,Duel at Diablo,Apache Rising,Marvin H. Albert,"Apache Rising,Marvin H. Albert",Apache Rising,"[""Marvin H. Albert""]",3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"The Apocalypse Watch (1995), Robert Ludlum",The Apocalypse Watch (1997)[N 1],The Apocalypse Watch,1997,"The Apocalypse Watch,1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Apocalypse Watch,Robert Ludlum,"The Apocalypse Watch,Robert Ludlum",The Apocalypse Watch,"[""Robert Ludlum""]",3.87,7939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,"The Apple Dumpling Gang (1971), Jack Bickham",The Apple Dumpling Gang (1975),The Apple Dumpling Gang,1975,"The Apple Dumpling Gang,1975",tt0072653,The Apple Dumpling Gang,The Apple Dumpling Gang,0,1975,100,"Comedy,Family,Western",6.4,7024,The Apple Dumpling Gang,The Apple Dumpling Gang,Jack Bickham,"The Apple Dumpling Gang,Jack Bickham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,"The Apple Dumpling Gang (1971), Jack Bickham",The Apple Dumpling Gang Rides Again (1979),The Apple Dumpling Gang Rides Again,1979,"The Apple Dumpling Gang Rides Again,1979",tt0078790,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Rides Again,0,1979,88,"Comedy,Family,Western",6,3502,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang,Jack Bickham,"The Apple Dumpling Gang,Jack Bickham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,"The Apple Dumpling Gang (1971), Jack Bickham",Tales from the Apple Dumpling Gang (1982)[N 1],Tales from the Apple Dumpling Gang,1982,"Tales from the Apple Dumpling Gang,1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Apple Dumpling Gang,Jack Bickham,"The Apple Dumpling Gang,Jack Bickham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,"Appointment with Death (1938), Agatha Christie",Appointment with Death (1988),Appointment with Death,1988,"Appointment with Death,1988",tt0094669,Appointment with Death,Appointment with Death,0,1988,102,"Crime,Drama,Mystery",6.1,7413,Appointment with Death,Appointment with Death,Agatha Christie,"Appointment with Death,Agatha Christie",Appointment with Death,"[""Agatha Christie""]",3.87,60085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,"Appointment with Venus (1951), Jerrard Tickell",Appointment with Venus (1951),Appointment with Venus,1951,"Appointment with Venus,1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appointment with Venus,Jerrard Tickell,"Appointment with Venus,Jerrard Tickell",Appointment with Venus,"[""Jerrard Tickell""]",4.19,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,"The Apprenticeship of Duddy Kravitz (1959), Mordecai Richler",The Apprenticeship of Duddy Kravitz (1974),The Apprenticeship of Duddy Kravitz,1974,"The Apprenticeship of Duddy Kravitz,1974",tt0071155,The Apprenticeship of Duddy Kravitz,The Apprenticeship of Duddy Kravitz,0,1974,120,"Comedy,Drama",6.8,2873,The Apprenticeship of Duddy Kravitz,The Apprenticeship of Duddy Kravitz,Mordecai Richler,"The Apprenticeship of Duddy Kravitz,Mordecai Richler",The Apprenticeship of Duddy Kravitz,"[""Mordecai Richler""]",3.73,8955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,"The Army of Shadows (French: L'Armée des ombres) (1943), Joseph Kessel",Army of Shadows (French: L'Armée des ombres) (1969),Army of Shadows,1969,"Army of Shadows,1969",tt0064040,Army of Shadows,L'armée des ombres,0,1969,145,"Drama,War",8.1,28303,L'armée des ombres,The Army of Shadows,Joseph Kessel,"The Army of Shadows,Joseph Kessel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt (1913),Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt,1913,"Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt,1913",tt0440511,Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt,Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt,0,1913,74,\N,5.2,15,Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",'Round the World in 80 Days (1914),'Round the World in 80 Days,1914,"'Round the World in 80 Days,1914",tt0003587,'Round the World in 80 Days,'Round the World in 80 Days,0,1914,\N,Adventure,5.3,42,'Round the World in 80 Days,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in Eighty Days (1919),Around the World in Eighty Days,1919,"Around the World in Eighty Days,1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (1956),Around the World in 80 Days,1956,"Around the World in 80 Days,1956",tt0048960,Around the World in 80 Days,Around the World in Eighty Days,0,1956,175,"Adventure,Comedy,Family",6.7,31312,Around the World in Eighty Days,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,4820,4820,"Oct 17, 1956",Around the World in 80 Days,6000000,42000000,"$42,000,000",4801,"Around the World in 80 Days,1956"
226,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",The Three Stooges Go Around the World in a Daze (1963),The Three Stooges Go Around the World in a Daze,1963,"The Three Stooges Go Around the World in a Daze,1963",tt0057580,The Three Stooges Go Around the World in a Daze,The Three Stooges Go Around the World in a Daze,0,1963,94,"Comedy,Family",6.2,878,The Three Stooges Go Around the World in a Daze,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in Eighty Days (1972; Australian),Around the World in Eighty Days,NA,"Around the World in Eighty Days,NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in Eighty Days (1972; Canadian),Around the World in Eighty Days,NA,"Around the World in Eighty Days,NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Ways (1988),Around the World in 80 Ways,1988,"Around the World in 80 Ways,1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (1988)[N 4],Around the World in 80 Days,1988,"Around the World in 80 Days,1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Around the World in 80 Days (German: Reise um die Erde in 80 Tagen) (1998),Around the World in 80 Days,1998,"Around the World in 80 Days,1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",Tweety's High-Flying Adventure (2000)[N 4],Tweety's High-Flying Adventure,2000,"Tweety's High-Flying Adventure,2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Around the World in Eighty Days,Jules Verne,"Around the World in Eighty Days,Jules Verne",Around the World in Eighty Days,"[""Jules Verne""]",3.94,250686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
